Month No.,Month-Day(s)-Events
1,"['January 1\nThe Czechoslovak Legions occupy much of the self-proclaimed ""free city"" of Pressburg (now Bratislava), enforcing its incorporation into the new republic of Czechoslovakia.\nHMY Iolaire sinks off the coast of the Hebrides; 201 people, mostly servicemen returning home to Lewis and Harris, are killed.', 'The Czechoslovak Legions occupy much of the self-proclaimed ""free city"" of Pressburg (now Bratislava), enforcing its incorporation into the new republic of Czechoslovakia.', 'HMY Iolaire sinks off the coast of the Hebrides; 201 people, mostly servicemen returning home to Lewis and Harris, are killed.', ""January 2–22 – Russian Civil War: The Red Army's Caspian-Caucasian Front begins the Northern Caucasus Operation against the White Army, but fails to make progress."", 'January 3 – The Faisal–Weizmann Agreement is signed by Emir Faisal (representing the Arab Kingdom of Hejaz) and Zionist leader Chaim Weizmann, for Arab–Jewish cooperation in the development of a Jewish homeland in Palestine, and an Arab nation in a large part of the Middle East.', ""January 5 – In Germany:\nSpartacist uprising in Berlin: The Marxist Spartacus League, with the newly formed Communist Party of Germany and the Independent Social Democratic Party, begin mass demonstrations, which will be suppressed by armed force within a week.\nThe German Workers' Party (Deutsche Arbeiterpartei, DAP), predecessor of the Nazi Party, is formed by the merger of Anton Drexler's Committee of Independent Workmen with journalist Karl Harrer's Political Workers' Circle."", 'Spartacist uprising in Berlin: The Marxist Spartacus League, with the newly formed Communist Party of Germany and the Independent Social Democratic Party, begin mass demonstrations, which will be suppressed by armed force within a week.', ""The German Workers' Party (Deutsche Arbeiterpartei, DAP), predecessor of the Nazi Party, is formed by the merger of Anton Drexler's Committee of Independent Workmen with journalist Karl Harrer's Political Workers' Circle."", 'January 7 – Estonian War of Independence: With Soviet Russian forces just 40\xa0km outside of the capital Tallinn, Estonian forces start a general and successful counter-offensive against the Red Army.', 'January 8 – The funeral of Theodore Roosevelt, 26th President of the United States, is held at Christ Church Oyster Bay, Long Island; Roosevelt had died in his sleep at the age of 60, two days earlier.', 'January 8–22 – Russian Civil War, Southern Front: The Red Army attacks and defeats the White Don Army under Pyotr Krasnov in the Voronezh–Povorino Operation.', 'January 9 – Friedrich Ebert orders the Freikorps into action in Berlin.', 'January 10–12 – The Freikorps attacks Spartacist supporters around Berlin.', 'January 11\nRomania annexes Transylvania.\nThe Georgian genocide occurs in Alagir.', 'Romania annexes Transylvania.', 'The Georgian genocide occurs in Alagir.', 'January 12–May 19 – Russian Civil War: On the Southern Front, the Armed Forces of South Russia under General Anton Denikin fight against the Red Army for the possession of the strategic region of the Donbass.', ""January 13 – Workers' councils in Berlin end the general strike; the Spartacist uprising is over."", 'January 14 – Estonian War of Independence: Estonian forces liberate Tartu from the Red Army.', 'January 15\nRosa Luxemburg and Karl Liebknecht are murdered following the Spartacist uprising.\nGreat Molasses Flood: A wave of molasses released from an exploding storage tank sweeps through Boston, Massachusetts, killing 21 people and injuring 150.', 'Rosa Luxemburg and Karl Liebknecht are murdered following the Spartacist uprising.', 'Great Molasses Flood: A wave of molasses released from an exploding storage tank sweeps through Boston, Massachusetts, killing 21 people and injuring 150.', 'January 16\nThe Eighteenth Amendment to the United States Constitution, authorizing Prohibition, is ratified.\nPianist Ignacy Jan Paderewski becomes the second Prime Minister of Poland.', 'The Eighteenth Amendment to the United States Constitution, authorizing Prohibition, is ratified.', 'Pianist Ignacy Jan Paderewski becomes the second Prime Minister of Poland.', 'January 18\nWorld War I: The Paris Peace Conference opens in France, with delegates from 27 nations attending for meetings at the Palace of Versailles.\nEstonian War of Independence: Estonian forces liberate Narva, expelling the Red Army from Northern Estonia.\nBentley Motors Limited is founded in England.', 'World War I: The Paris Peace Conference opens in France, with delegates from 27 nations attending for meetings at the Palace of Versailles.', 'Estonian War of Independence: Estonian forces liberate Narva, expelling the Red Army from Northern Estonia.', 'Bentley Motors Limited is founded in England.', 'January 19–28 – Russian Civil War: The Red Army begins the counter offensive in the Perm area against the White forces.', 'January 19\nThe Monarchy of the North is established in Northern Portugal.\n1919 German federal election, first under the Weimar Republic and the first in Germany with female suffrage.', 'The Monarchy of the North is established in Northern Portugal.', '1919 German federal election, first under the Weimar Republic and the first in Germany with female suffrage.', 'January 21 – Dáil Éireann meets for the first time in the Mansion House, Dublin. It comprises Sinn Féin members elected in the 1918 general election who, in accordance with their manifesto, have not taken their seats in the Parliament of the United Kingdom, but chosen to declare an independent Irish Republic. In the first shots of the Anglo-Irish War, two Royal Irish Constabulary (RIC) men are killed in an ambush at Soloheadbeg in Tipperary.', 'January 23 – Khotyn Uprising: partisans capture the city of Khotyn in Romania.', 'January 25 – The League of Nations is founded in Paris, France.', 'January 31 – Battle of George Square: The British Army is called in to deal with riots, during negotiations over working hours in Glasgow, Scotland.']"
2,"['February 1 – Estonian War of Independence: Estonian forces liberate Valga and Võru, expelling the Red Army from the entire territory of Estonia.', 'February 3 – Russian Civil War: Soviet troops occupy Ukraine.', 'February 4–5 – Pressburg (Bratislava) becomes the capital of Slovakia.', 'February 5\nUnited Artists (UA) is incorporated in the United States by D. W. Griffith, Charlie Chaplin, Mary Pickford and Douglas Fairbanks as a motion picture producer.\nRussian Civil War: Soviet troops occupy the city of Kyiv after the Battle of Kiev (January 1919).', 'United Artists (UA) is incorporated in the United States by D. W. Griffith, Charlie Chaplin, Mary Pickford and Douglas Fairbanks as a motion picture producer.', 'Russian Civil War: Soviet troops occupy the city of Kyiv after the Battle of Kiev (January 1919).', ""February 10 – The Inter-Allied Women's Conference convenes to compile a list of women's issues to present to the delegates of the Paris Peace Conference."", ""February 11\nFriedrich Ebert is elected the first President of Germany (Reichspräsident), by the Weimar National Assembly.\nThe Seattle General Strike ends, when Federal troops are summoned by the State of Washington's Attorney General."", 'Friedrich Ebert is elected the first President of Germany (Reichspräsident), by the Weimar National Assembly.', ""The Seattle General Strike ends, when Federal troops are summoned by the State of Washington's Attorney General."", 'February 12 – Ethnic Germans and Hungarian inhabitants of Pressburg start a protest against its incorporation into Czechoslovakia, but the Czechoslovak Legions open fire on the unarmed demonstrators.', ""February 13 – Portugal's Monarchy of the North ends as a result of a revolt in Porto by civilians and National Republican Guard members."", 'February 14 – The Polish–Soviet War begins, with the Battle of Bereza Kartuska.', 'February 16–21 – Estonian War of Independence: Uniformed peasants in Saaremaa rebel against the government of Estonia; the rebellion is crushed by government forces, leaving more than 200 dead.', 'February 25 – Oregon places a one cent per US gallon (0.26¢/liter) tax on gasoline, becoming the first U.S. state to levy a gasoline tax.', 'February 26 – Grand Canyon National Park: An act of the United States Congress establishes most of the Grand Canyon as a United States National Park.', 'February 28\nAmānullāh Khān becomes King of Afghanistan.\nAn independence mission to the U.S., funded by the Philippine legislature, sets out from Manila to present its case to United States Secretary of War Newton D. Baker.', 'Amānullāh Khān becomes King of Afghanistan.', 'An independence mission to the U.S., funded by the Philippine legislature, sets out from Manila to present its case to United States Secretary of War Newton D. Baker.']"
3,"['March 1 – The March 1st Movement against Japanese colonial rule in Korea is formed.', 'March 2 – The Founding Congress of the Comintern opens in Moscow.', 'March 3–April – Russian Civil War: Beginning of the Chapan war as peasants of the provinces of Samara and Simbirsk rebel against Soviet rule.', 'March 4\nThe Communist International (Comintern) is founded.\nRussian Civil War: The White forces in Siberia under the command of Admiral Alexander Kolchak attack the positions of the Red Army in the Spring Offensive. The Whites crush the 5th Red Army under Jan Blumberg, and capture Okhansk, Osa, Sarapul and finally Ufa over the next days.', 'The Communist International (Comintern) is founded.', 'Russian Civil War: The White forces in Siberia under the command of Admiral Alexander Kolchak attack the positions of the Red Army in the Spring Offensive. The Whites crush the 5th Red Army under Jan Blumberg, and capture Okhansk, Osa, Sarapul and finally Ufa over the next days.', 'March 4–5 – Kinmel Park Riots by troops of the Canadian Expeditionary Force awaiting repatriation at Kinmel Camp, Bodelwyddan, in North Wales. Five men are killed, 28 injured, and 25 convicted of mutiny.', 'March 5 – A. Mitchell Palmer becomes United States Attorney General, through recess appointment.', 'March 8\nThe Rowlatt Act is passed by the Imperial Legislative Council in London, indefinitely extending the emergency provisions of the Defence of India Act 1915.\nBritish authorities in Egypt arrest populist leader Saad Zaghloul, exiling him to Malta, triggering the Egyptian Revolution of 1919.', 'The Rowlatt Act is passed by the Imperial Legislative Council in London, indefinitely extending the emergency provisions of the Defence of India Act 1915.', 'British authorities in Egypt arrest populist leader Saad Zaghloul, exiling him to Malta, triggering the Egyptian Revolution of 1919.', 'March 11–June 8 – Russian Civil War: The Cossacks of the Upper Don rebel against Bolshevik rule in the Vyoshenskaya Uprising and join the White forces.', 'March 15–17 – Members of the American Expeditionary Forces convene in Paris for the first American Legion caucus.', 'March 17 – Birth of the Commonwealth of the Philippines.', 'March 21 – The Hungarian Soviet Republic is established by Béla Kun.', 'March 23 – Benito Mussolini founds his Italian Fascist political movement in Milan.', 'March 23–24 – Charles I, the last Emperor of Austria, leaves Austria for exile in Switzerland.', 'March 26 – Queen of the South F.C. is formed in Dumfries, Scotland.', 'March 27 – The name Bratislava is officially adopted for the city of Pressburg.']"
4,"['April 5 – Pinsk massacre: 35 Jews are killed without trial, after being accused of Bolshevism.', 'April 6–7 – The Bavarian Soviet Republic is founded.', 'April 10 – Mexican Revolution leader Emiliano Zapata is ambushed and shot dead in Morelos.', 'April 12 – French serial killer Henri Désiré Landru is arrested.', 'April 13\nAmritsar Massacre: Under the command of Reginald Dyer, detachments of the 9th Gorkha Rifles and the 59th Scinde Rifles massacre 379 Sikh civilians at Jallianwala Bagh in Amritsar, in the Punjab Province.\nEugene V. Debs enters prison at the Atlanta Federal Penitentiary in Atlanta, Georgia for speaking out against conscription in the United States during World War I.', 'Amritsar Massacre: Under the command of Reginald Dyer, detachments of the 9th Gorkha Rifles and the 59th Scinde Rifles massacre 379 Sikh civilians at Jallianwala Bagh in Amritsar, in the Punjab Province.', 'Eugene V. Debs enters prison at the Atlanta Federal Penitentiary in Atlanta, Georgia for speaking out against conscription in the United States during World War I.', 'April 15 – The Save the Children Fund is created in the UK to raise money for the relief of German and Austrian children.', 'April 20 – The French Army blows up the bridge over the Dniester at Bender, Moldova, to protect the city from the Bolsheviks.', 'April 22–June 20 – Russian Civil War: Counteroffensive of Eastern Front – The Reds go on the offensive on the Siberia Front: General Gaya Gai defeats the White forces near Orenburg after a 3-day battle. Over the next weeks, the Red Army pushes the Whites behind the Ural mountains.', 'April 23 – The Estonian Constituent Assembly convenes its first session.', 'April 25\nThe Bauhaus architectural and design movement is founded in Weimar, Germany.\nAnzac Day is observed for the first time in Australia.\nPancho Villa takes Parral, Chihuahua, in Mexico, and executes the mayor and his two sons.', 'The Bauhaus architectural and design movement is founded in Weimar, Germany.', 'Anzac Day is observed for the first time in Australia.', 'Pancho Villa takes Parral, Chihuahua, in Mexico, and executes the mayor and his two sons.', 'April 30 – First wave of 1919 United States anarchist bombings: several bombs sent by followers of the Italian anarchist Luigi Galleani are intercepted.']"
5,"['May 1 – May Day Riots break out in Cleveland, Ohio; 2 people are killed, 40 injured, and 116 arrested.', 'May 2 – Weimar Republic troops and the Freikorps occupy Munich and crush the Bavarian Soviet Republic.', 'May 3 – Amānullāh Khān attacks the British government in India.', 'May 4\nThe May Fourth Movement erupts in China as a result of the decision at the Paris Peace Conference to transfer former German concessions in Jiaozhou Bay to Japan rather than return sovereign authority to China.\nThe League of Red Cross Societies is formed in Paris.', 'The May Fourth Movement erupts in China as a result of the decision at the Paris Peace Conference to transfer former German concessions in Jiaozhou Bay to Japan rather than return sovereign authority to China.', 'The League of Red Cross Societies is formed in Paris.', 'May 6 – The Third Anglo-Afghan War begins.', 'May 8 – Edward George Honey proposes a moment of silence to commemorate the Armistice of World War I.', 'May 8–27 – United States Navy Curtiss flying boat NC-4, commanded by Albert Cushing Read, makes the first transatlantic flight, from Naval Air Station Rockaway to Lisbon via Trepassey, Newfoundland (departs May 16) and the Azores (arrives May 17). (On May 30–31 it flies on to Plymouth in England.)', 'May 9 – In Belgium, a new electoral law introduces universal manhood suffrage and gives the franchise to certain classes of women.', ""May 14 – The University College of Wales, Aberystwyth, establishes probably the world's first chair in International Politics, endowed by David Davies and his sisters in honour of Woodrow Wilson, with Alfred Eckhard Zimmern as first professor."", ""May 15\nGreek landing at Smyrna: The Hellenic Army lands at Smyrna assisted by ships of the British Royal Navy.\nA law providing for full women's suffrage in the Netherlands is introduced.\nWinnipeg general strike: Workers in Winnipeg, Canada launch a strike for better wages and working conditions."", 'Greek landing at Smyrna: The Hellenic Army lands at Smyrna assisted by ships of the British Royal Navy.', ""A law providing for full women's suffrage in the Netherlands is introduced."", 'Winnipeg general strike: Workers in Winnipeg, Canada launch a strike for better wages and working conditions.', 'May 17 – The Committee of One Thousand forms to oppose the Winnipeg general strike.', 'May 19\nMustafa Kemal Atatürk lands at Samsun on the Anatolian Black Sea coast, marking the start of the Turkish War of Independence. The anniversary of this event is also an official day of Turkish Youth.\nVolcano Kelud erupts in Java, killing about 5,000.', 'Mustafa Kemal Atatürk lands at Samsun on the Anatolian Black Sea coast, marking the start of the Turkish War of Independence. The anniversary of this event is also an official day of Turkish Youth.', 'Volcano Kelud erupts in Java, killing about 5,000.', 'May 23 – The University of California opens its second campus in Los Angeles. Initially called Southern Branch of the University of California (SBUC), it is eventually renamed the University of California, Los Angeles (UCLA).', 'May 25 – Estonian War of Independence: Estonian forces capture Pskov from the Red Army, and soon hand it over to the White forces.', 'May 27\nFyodor Raskolnikov is exchanged for 14 British prisoners of war.\nSiege of Spin Boldak (Third Anglo-Afghan War). This is the last time the British Army uses an escalade.', 'Fyodor Raskolnikov is exchanged for 14 British prisoners of war.', 'Siege of Spin Boldak (Third Anglo-Afghan War). This is the last time the British Army uses an escalade.', 'May 29\nEddington experiment: Einstein\'s theory of general relativity is tested by Arthur Eddington\'s observation of the ""bending of light"" during a total solar eclipse in Príncipe, and by Andrew Crommelin in Sobral, Ceará, Brazil (confirmed November 19).\nThe Republic of Prekmurje formally declares independence from Hungary.', 'Eddington experiment: Einstein\'s theory of general relativity is tested by Arthur Eddington\'s observation of the ""bending of light"" during a total solar eclipse in Príncipe, and by Andrew Crommelin in Sobral, Ceará, Brazil (confirmed November 19).', 'The Republic of Prekmurje formally declares independence from Hungary.', 'May 30 – By agreement with the United Kingdom, later confirmed by the League of Nations, Belgium is given the mandate over part of German East Africa (Ruanda-Urundi).']"
6,"[""June – Earl W. Bascom, rodeo cowboy and artist, along with his father John W. Bascom at Lethbridge, Alberta, Canada, designs and makes rodeo's first reverse-opening side-delivery bucking chute, which becomes the world standard."", 'June 2 – 1919 United States anarchist bombings: Eight mail bombs are sent to prominent figures.', ""June 4 – Women's rights: The United States Congress approves the 19th Amendment to the United States Constitution, which would guarantee suffrage to women, and sends it to the states for ratification."", 'June 5 – Estonian and Latvian Wars of Independence: The advancing pro-German Baltische Landeswehr initiates war against Estonia in Northern Latvia.', 'June 6 – The Hungarian Red Army attacks the Republic of Prekmurje.', 'June 7\nSette Giugno on Malta: British troops fire on a mob protesting against the colonial government, killing four.\nRussian Civil War: Counteroffensive of Eastern Front: The Red army captures the city of Birsk from the White forces.', 'Sette Giugno on Malta: British troops fire on a mob protesting against the colonial government, killing four.', 'Russian Civil War: Counteroffensive of Eastern Front: The Red army captures the city of Birsk from the White forces.', 'June 9 – Russian Civil War: Counteroffensive of Eastern Front: The Red army recaptures the city of Ufa', ""June 14–15 – A Vickers Vimy piloted by British aviator John Alcock, with navigator Arthur Whitten Brown, makes the first nonstop transatlantic flight, from St. John's, Newfoundland, to Clifden, Connemara, Ireland."", ""June 15 – Pancho Villa attacks Ciudad Juárez, Mexico. When the bullets begin to fly to the American side of the border, two units of the United States 7th Cavalry Regiment cross the border, to push Villa's forces from American territory."", 'June 17 – Epsom Riot by Canadian troops: English Police Sergeant Thomas Green is killed.', 'June 18 – The second most popular football club in Costa Rica, Liga Deportiva Alajuelense, is founded.', 'July 1 – Russian Civil War: Perm Operation (1918–19) begins on the Siberian Front: The 2nd and 3rd armies of Soviet Russia recapture the city of Perm.', 'June 20–25 – Russian Civil War, Southern Front: The White Volunteer Army defeats the exhausted Red forces in the Kharkiv Operation, capturing the industrial city of Kharkiv.', 'June 21\nBloody Saturday of the Winnipeg general strike: Royal North-West Mounted Police fire a volley of bullets into a crowd of unemployed war veterans, killing two.\nScuttling of the German fleet at Scapa Flow: Admiral Ludwig von Reuter scuttles the German fleet interned at Scapa Flow, Scotland; nine German sailors are killed.', 'Bloody Saturday of the Winnipeg general strike: Royal North-West Mounted Police fire a volley of bullets into a crowd of unemployed war veterans, killing two.', 'Scuttling of the German fleet at Scapa Flow: Admiral Ludwig von Reuter scuttles the German fleet interned at Scapa Flow, Scotland; nine German sailors are killed.', 'June 23 – Estonian and Latvian Wars of Independence – Battle of Cēsis: The Estonian army defeats the pro-German Baltische Landeswehr in northern Latvia, forcing it to retreat towards Riga; the event is celebrated subsequently as Victory Day in Estonia.', 'June 26 – British Foreign Office official St John Philby and T. E. Lawrence arrive in Cairo for discussions about Arab unrest in Egypt, having been flown by Canadian pilot Harry Yates in a Handley Page bomber which set off from England on June 21.', 'June 28\nThe Treaty of Versailles is signed, formally ending World War I. John Maynard Keynes, who had been present at the conference and is unhappy with the terms of the treaty, brings out his own analysis later in the year, entitled The Economic Consequences of the Peace.\nThe International Labour Organization (ILO) is established as an agency of the League of Nations.', 'The Treaty of Versailles is signed, formally ending World War I. John Maynard Keynes, who had been present at the conference and is unhappy with the terms of the treaty, brings out his own analysis later in the year, entitled The Economic Consequences of the Peace.', 'The International Labour Organization (ILO) is established as an agency of the League of Nations.']"
7,"['July 2 – The Syrian National Congress in Damascus: Arab nationalists announce independence.', 'July 2–6 – British airship R34 makes the first transatlantic flight by dirigible, and the first westbound flight, from RAF East Fortune, Scotland, to Mineola, New York.', 'July 3\nEstonian and Latvian Wars of Independence: The pro-German Baltische Landeswehr signs a peace treaty with Estonia and Latvia. The pro-German Prime Minister of Latvia Andrievs Niedra resigns, and Latvian forces take over Riga on July 8.\nRussian Civil War, Southern Front: General Anton Denikin of the White Volunteer Army proclaims Directive No. 08878 (the Moscow Directive), defining the operational and strategic target of the White Guard armies, to seize Moscow at this time controlled by the Bolsheviks, beginning the Advance on Moscow (1919).', 'Estonian and Latvian Wars of Independence: The pro-German Baltische Landeswehr signs a peace treaty with Estonia and Latvia. The pro-German Prime Minister of Latvia Andrievs Niedra resigns, and Latvian forces take over Riga on July 8.', 'Russian Civil War, Southern Front: General Anton Denikin of the White Volunteer Army proclaims Directive No. 08878 (the Moscow Directive), defining the operational and strategic target of the White Guard armies, to seize Moscow at this time controlled by the Bolsheviks, beginning the Advance on Moscow (1919).', 'July 5–20 – Russian Civil War, Eastern or Siberian Front, Ekaterinburg Operation: The Red Army captures the city of Ekaterinburg in the Ural mountains from the White rule of Admiral Alexander Kolchak.', 'July 7 – The United States Army sends a convoy across the continental U.S., starting in Washington, D.C., to assess the possibility of crossing North America by road. This crossing takes many months to complete, because the building of the U.S. Highway System has not commenced.', 'July 11 – The eight-hour day and free Sunday become law for workers in the Netherlands.', 'July 19 – The Foreign Ministry of the Azerbaijan Democratic Republic is established, by decree of the chancellory for foreign affairs.', 'July 21 – Wingfoot Air Express crash: The dirigible Wingfoot Air Express catches fire over downtown Chicago. Two passengers, one aircrewman and ten people on the ground are killed; however, two people parachute to the ground safely.', 'July 27 – The Chicago Race Riot of 1919 begins when a white man throws stones at a group of four black teens on a raft.', 'July 28 – The International Astronomical Union is founded in Paris, France.', 'July 31 – British police strikes in London and Liverpool for recognition of the National Union of Police and Prison Officers; over 2,000 strikers are dismissed.']"
8,"[""August 1 – Béla Kun's Hungarian Soviet Republic collapses."", 'August 3 – The Romanian army liberates Timișoara from Hungarian occupation.', 'August 4 – The Romanian army occupies Budapest.', 'August 8 – The Anglo-Afghan Treaty of 1919, signed in Rawalpindi, ends the Third Anglo-Afghan War, with the United Kingdom recognising the right of the Emirate of Afghanistan to manage its own foreign affairs and Afghanistan recognising the Durand Line as the border with British India.', 'August 11 – In Germany, the Weimar Constitution is proclaimed to be in effect (ratified).', 'August 14–September 12 – Russian Civil War, Southern Front: A failed attack of the Red army against the White Volunteer Army of Anton Denikin.', 'August 16–26 – First Silesian Uprising: Poles in Upper Silesia rise against the Germans.', 'August 18 – Russian Civil War: North Russia intervention – The Bolshevik fleet at Kronstadt, protecting Petrograd on the Baltic Sea, is substantially damaged by British Royal Navy Coastal Motor Boats (torpedo boats) and military aircraft in a combined operation.', 'August 21 – Friedrich Ebert becomes the first president in Germany.', 'August 27 – South African Prime Minister Louis Botha dies in office.', 'August 24–September 12 – Russian Civil War: Counteroffensive of Southern Front – The Red Army commanded by Vladimir Yegoryev attacks the White forces of General Anton Denikin but is defeated.', 'August 29 – Russian Civil War: The Red Army captures Pskov from White forces.', 'August 31 –\nThe American Communist Party is established.\nRussian Civil War, Southern Front: the city of  Kyiv is captured by the White Army.', 'The American Communist Party is established.', 'Russian Civil War, Southern Front: the city of  Kyiv is captured by the White Army.']"
9,"['September 1–October 2 – Russian Civil War, Siberian Front: Admiral Alexander Kolchak launches his final offensive in the Tobolsk operation, defeating the Red Army.', 'September 3 – Jan Smuts becomes the second prime minister of South Africa.', 'September 6 – The U.S. Army expedition across North America, which started July 7, ends in San Francisco.', 'September 10–15 – The Florida Keys hurricane kills 600 in the Gulf of Mexico, Florida and Texas.', ""September 10 – The Treaty of Saint-Germain is signed, ending World War I with Austria-Hungary and declaring that the latter's empire is to be dissolved. The Republic of German-Austria becomes the First Austrian Republic but retains less than 40% of the prewar imperial territory."", ""September 12\nGabriele D'Annunzio, with his entourage, marches into Fiume and convinces Italian troops to join him.\nFirst gold fixing takes place in London."", ""Gabriele D'Annunzio, with his entourage, marches into Fiume and convinces Italian troops to join him."", 'First gold fixing takes place in London.', 'September 17 – German South West Africa is placed under South African administration.', 'September 18–November 14 – Russian Civil War, Western Front:  Battle of Petrograd: The White general Nikolai Yudenich approaches  the city of Saint Petersburg with 18,500 soldiers, but is defeated by the defense organized by Leon Trotsky.', 'September 21 – The Steel strike of 1919 begins across the United States.', 'September 27 – Russian Civil War: The last British Army troops leave Arkhangelsk and leave the fighting to the Russians.', 'September 30 – Elaine massacre: An estimated 100 to 800 African Americans are killed in Elaine, Arkansas, by white mobs and vigilante militias assisted by federal troops in ""the deadliest racial confrontation in Arkansas history and possibly the bloodiest racial conflict in the history of the United States"".']"
10,"['October 2 – President of the United States Woodrow Wilson suffers a serious stroke, rendering him an invalid for the remainder of his life.', ""October 7 – The Dutch airline KLM is founded (as of 2022, it is the world's oldest airline still flying under its original name)."", 'October 9 – In Major League Baseball, the Cincinnati Reds win the World Series, five games to three, over the Chicago White Sox, whose players are later found to have lost intentionally.', 'October 10 – Estonia adopts a radical land reform, nationalizing 97% of agrarian lands, mostly still belonging to the Baltic German nobility.', ""October 11–November 18 – Russian Civil War, Southern Front: The Red army defeat the white army in the Orel–Kursk operation, recapturing the cities and stopping the white's offensive to Moscow."", 'October 13 – The Convention relating to the Regulation of Aerial Navigation is signed, in Paris, France.', 'October 13–November 16 – Russian Civil War, Southern Front: Using massive cavalry forces, The Red army threatened the flank of the white army in the Voronezh–Kastornoye operation (1919).', ""October 16\nIn Germany, Adolf Hitler gives his first speech for the German Workers' Party (DAP).\nThe historic Condado Vanderbilt Hotel is inaugurated, in San Juan, Puerto Rico."", ""In Germany, Adolf Hitler gives his first speech for the German Workers' Party (DAP)."", 'The historic Condado Vanderbilt Hotel is inaugurated, in San Juan, Puerto Rico.', 'October 26 – 1919 Luxembourg general election, the first in the duchy with female suffrage, following constitutional amendments of May 15.', ""October 28 – Prohibition in the United States: The United States Congress passes the Volstead Act, over President Woodrow Wilson's veto. Prohibition goes into effect on January 17, 1920, under the provisions of the 18th Amendment to the United States Constitution.""]"
