Month No.,Month-Day(s)-Events
1,"['January 5: A 7.7 earthquake shakes Prince of Wales Island generating a 1.5 m tsunami.', 'January 10 – At least 130 people are killed and 270 are injured in several bomb blasts in Pakistan.', 'January 11 – The French military begins a 5-month intervention into the Northern Mali conflict, targeting the militant Islamist Ansar Dine group.', 'January 16–20 – Thirty-nine international workers and 1 security guard die in a hostage crisis at a natural gas facility near In Aménas, Algeria.', 'January 20 – Barack Obama is sworn in for a second term as President of the United States.', 'January 27 – An estimated 245 people die in a nightclub fire in Santa Maria, Rio Grande do Sul, Brazil.']"
2,"['February 12 – North Korea conducts its third underground nuclear test, prompting widespread condemnation and tightened economic sanctions from the international community.', ""February 15 – A meteor explodes over the Russian city of Chelyabinsk, injuring 1,489–1,492 people and damaging over 4,300 buildings. It is the most powerful meteor to strike Earth's atmosphere in over a century. The incident, along with a coincidental flyby of a larger asteroid, prompts international concern regarding the vulnerability of the planet to meteor strikes."", 'February 21 – American scientists use a 3D printer to create a living lab-grown ear from collagen and animal ear cell cultures. In the future, it is hoped that similar ears could be grown to order as transplants for human patients with ear trauma or amputation.', 'February 25 – Park Geun-hye becomes the first woman to become the president of South Korea.', 'February 28 – Benedict XVI resigns as pope, becoming the first to do so since Gregory XII in 1415, and the first to do so voluntarily since Celestine V in 1294.']"
3,"['March 13 – Cardinal Jorge Mario Bergoglio of Argentina is elected the 266th pope, whereupon he takes the name Francis and becomes the first Jesuit pope, the first pope from the Americas, and the first pope from the Southern Hemisphere.', ""March 24 – Central African Republic President François Bozizé flees to the Democratic Republic of the Congo, after rebel forces capture the nation's capital, Bangui."", 'March 25 – The European Union agrees to a €10\xa0billion economic bailout for Cyprus. The bailout loan will be equally split between the European Financial Stabilisation Mechanism, the European Financial Stability Facility, and the International Monetary Fund. The deal precipitates a banking crisis in the island nation.']"
4,"['April 2 – The United Nations General Assembly adopts the Arms Trade Treaty to regulate the international trade of conventional weapons.', 'April 13\nVenezuelan presidential election, Nicolás Maduro was declared winner with a narrow victory over his opponent Henrique Capriles Radonski.\nVenezuelan presidential election protests.', 'Venezuelan presidential election, Nicolás Maduro was declared winner with a narrow victory over his opponent Henrique Capriles Radonski.', 'Venezuelan presidential election protests.', 'April 15 – Two Chechnya-born Islamist brothers (1 of whom was a United States citizen) detonate 2 bombs at the Boston Marathon in Boston, Massachusetts, in the United States, killing 3 and injuring 264 others.', 'April 20 – A magnitude 6.6 earthquake jolts Sichuan, China, leaving 193 people dead and more than 11,000 injured.', 'April 21 – Businessman Horacio Cartes wins the 2013 Paraguayan general election against Efraín Alegre.', 'April 24 – The 2013 Savar building collapse, one of the worst industrial disasters in the world, kills 1,134 people in Bangladesh.', 'April 30 – Willem-Alexander is inaugurated as King of the Netherlands following the abdication of Beatrix.']"
5,"['May 14–18 – The Eurovision Song Contest 2013 takes place in Malmö, Sweden, and is won by Danish entrant Emmelie de Forest with the song ""Only Teardrops"".', 'May 15 –\nIn a study published in the scientific journal Nature, researchers from Oregon Health & Science University in the United States describe the first production of human embryonic stem cells by cloning.\nThe World Health Organization names the novel coronavirus Middle East respiratory syndrome (MERS).', 'In a study published in the scientific journal Nature, researchers from Oregon Health & Science University in the United States describe the first production of human embryonic stem cells by cloning.', 'The World Health Organization names the novel coronavirus Middle East respiratory syndrome (MERS).', 'May 22 – British Army soldier Fusilier Lee Rigby of the Royal Regiment of Fusiliers is murdered in Woolwich, southeast London by Islamic terrorists Michael Adebolajo and Michael Adebowale.', 'May 31 - The largest tornado ever recorded hit El Reno.This rain-wrapped, multiple-vortex tornado was the widest tornado ever recorded. Remaining over mostly open terrain, the tornado did not impact many structures; however, measurements from mobile weather radars revealed extreme winds up to 296 mph (476 km/h) within the vortex. These are among the highest observed wind speeds on Earth, just slightly lower than the wind speeds of 1999 Bridge Creek–Moore tornado. As it crossed U.S. 81, it had grown to a record-breaking width of 2.6 miles (4.2 km).']"
6,"['June 6 – Former CIA employee Edward Snowden discloses operations engaged in by a U.S. government mass surveillance program to news publications and flees the country, later being granted temporary asylum in Russia.', 'June 25 – Emir of Qatar Hamad bin Khalifa Al Thani abdicates and his son Tamim bin Hamad Al Thani assumes power.', 'June 26\nKevin Rudd defeats Julia Gillard in an Australian Labor Party leadership ballot and consequently becomes Prime Minister of Australia, three years after Gillard replaced Rudd.\nUnited States v. Windsor (570 U.S. 744) decided in the Supreme Court of the United States, overturning a key section of the Defense of Marriage Act and hence granting federal recognition to same-sex marriage in the United States.', 'Kevin Rudd defeats Julia Gillard in an Australian Labor Party leadership ballot and consequently becomes Prime Minister of Australia, three years after Gillard replaced Rudd.', 'United States v. Windsor (570 U.S. 744) decided in the Supreme Court of the United States, overturning a key section of the Defense of Marriage Act and hence granting federal recognition to same-sex marriage in the United States.']"
7,"['July 1 – Croatia becomes the 28th member of the European Union.', ""July 3 – Amid mass protests across Egypt, President Mohamed Morsi is deposed in a military coup d'état, leading to widespread violence."", 'July 21 – Philippe is sworn in as King of the Belgians, following the abdication of Albert II.', 'July 22–28 – XIV World Youth Day, in Rio de Janeiro, Brazil.']"
8,"['August 14 – Following the military coup in Egypt, two anti-coup camps are raided by the security forces, leaving 2,696 dead. The raids were described by Human Rights Watch as ""1 of the world\'s largest killings of demonstrators in a single day in recent history"".', 'August 15 – Horacio Cartes is sworn in as President of Paraguay.', 'August 21 – 1,429 are killed in the Ghouta chemical attack during the Syrian Civil War.', 'August 29 – The United Kingdom Parliament votes against UK military attacks on Syria.']"
9,"['September 7\n2013 Australian federal election: The Liberal/National Coalition led by Tony Abbott defeats the Labor Government led by Prime Minister Kevin Rudd. Abbott would be sworn in on September 18th.\nThe International Olympic Committee awards Tokyo the right to host the 2020 Summer Olympics.', '2013 Australian federal election: The Liberal/National Coalition led by Tony Abbott defeats the Labor Government led by Prime Minister Kevin Rudd. Abbott would be sworn in on September 18th.', 'The International Olympic Committee awards Tokyo the right to host the 2020 Summer Olympics.', 'September 8 – The 2013 Colorado Floods begin, resulting from heavy rain in the Colorado River Basin.', 'September 17 – Rockstar Games releases video game Grand Theft Auto V.', 'September 21 – al-Shabaab Islamic militants attack the Westgate shopping mall in Nairobi, Kenya, killing at least 62 civilians and wounding over 170.']"
10,"['October 10 – Delegates from some 140 countries and territories sign the Minamata Treaty, a UNEP treaty designed to protect human health and the environment from emissions and releases of mercury and mercury compounds.', 'October 15 – A magnitude 7.2 earthquake struck Bohol, Philippines, leaving 222 dead, 8 missing, and 976 people injured.', 'October 18 – Saudi Arabia rejects a seat on the United Nations Security Council, making it the first country to reject a seat on the Security Council. Jordan takes the seat on December 6.']"
