Month No.,Month-Day(s)-Events
1,"['January 11 – Turkey threatens Cyprus on account of a deal to buy Russian S-300 missiles, prompting the Cypriot Missile Crisis.', 'January 17 – A Delta II rocket carrying a military GPS payload explodes, shortly after liftoff from Cape Canaveral.', 'January 18 – In northwest Rwanda, Hutu militia members kill 6 Spanish aid workers and three soldiers, and seriously wound another.', 'January 19 – Yasser Arafat returns to Hebron after more than 30 years, and joins celebrations over the handover of the last Israeli-controlled West Bank city.', 'January 20 – Bill Clinton is sworn in for a second term as President of the United States.', 'January 23 – Madeleine Albright becomes the first female Secretary of State of the United States, after confirmation by the United States Senate.']"
2,"['February 4\nOn their way to Lebanon, two Israeli troop-transport helicopters collide, killing all 73 on board.\nAfter at first contesting the results, Serbian President Slobodan Milošević recognizes opposition victories in the November 1996 elections.\nA magnitude 6.5 earthquake strikes North Khorasan province, Iran, killing 88 people and injuring 1,948.', 'On their way to Lebanon, two Israeli troop-transport helicopters collide, killing all 73 on board.', 'After at first contesting the results, Serbian President Slobodan Milošević recognizes opposition victories in the November 1996 elections.', 'A magnitude 6.5 earthquake strikes North Khorasan province, Iran, killing 88 people and injuring 1,948.', 'February 10 – Sandline affair: Australian newspapers publish stories that the government of Papua New Guinea has brought mercenaries onto Bougainville Island.', 'February 13 – STS-82: Tune-up and repair work on the Hubble Space Telescope is started by astronauts from the Space Shuttle Discovery.', 'February 28 – North Hollywood shootout: Two robbers, wearing kevlar body armor, and armed with AK-47s containing armor-piercing bullets, injure 17 police officers and civilians in a gun battle. The incident sparks debate on the appropriate firepower for United States patrol officers to have available in similar situations in the future.']"
3,"['March 4 – U.S. President Bill Clinton bans federal funding for any research on human cloning.', 'March 7 – In Sri Lanka, the Tamil Tigers overrun a military base and kill over 100 Sri Lankan troops.', ""March 13\nIndia's Missionaries of Charity chooses Sister Nirmala, to succeed Mother Teresa as its leader.\nThe National People's Congress of the People's Republic of China creates a new Chongqing Municipality, out of part of Sichuan."", ""India's Missionaries of Charity chooses Sister Nirmala, to succeed Mother Teresa as its leader."", ""The National People's Congress of the People's Republic of China creates a new Chongqing Municipality, out of part of Sichuan."", 'March 14 – A study of gender reassignment of a boy who lost his penis to a botched circumcision is refuted by a follow-up study. The supposedly successful outcome had been widely cited as proof that gender was determined by nurture, yet the patient, David Reimer, was deeply unhappy and had returned to his original gender by the age of 15, thus indicating the opposite thesis.', 'March 16 – Sandline affair: On Bougainville Island, soldiers of commander Jerry Singirok arrest Tim Spicer and his mercenaries of the Sandline International.', 'March 18 – The tail of a Russian An-24 charter plane breaks off while en route to Turkey, causing the plane to crash, killing all 50 on board, and resulting in the grounding of all An-24s.', 'March 21 – In Zaire, Étienne Tshisekedi is appointed prime minister; he ejects supporters of Mobutu Sese Seko from his cabinet.', 'March 22 – The Comet Hale–Bopp makes its closest approach to Earth.', 'March 24 – The 69th Academy Awards, hosted by Billy Crystal, are held at the Shrine Auditorium in Los Angeles, with The English Patient winning Best Picture. During the event, the DVD format is launched in the United States.', ""March 24 – 26 – In San Diego, 39 Heaven's Gate cultists commit mass suicide at their compound."", 'March 26 – Julius Chan resigns as prime minister of Papua New Guinea, effectively ending the Sandline affair.']"
4,"['April 3 – The Thalit massacre in Algeria: all but 1 of the 53 inhabitants of Thalit are killed by guerrillas.', 'April 14\nFire breaks out in a pilgrim camp on the Plain of Mena, 11 kilometres (6.8\xa0mi) from Mecca; 343 die.\nFormer S.S. Captain Erich Priebke is retried; on July 22 he is sentenced to fifteen years in prison.', 'Fire breaks out in a pilgrim camp on the Plain of Mena, 11 kilometres (6.8\xa0mi) from Mecca; 343 die.', 'Former S.S. Captain Erich Priebke is retried; on July 22 he is sentenced to fifteen years in prison.', 'April 18 – The Red River of the North breaks through dikes and floods Grand Forks, North Dakota, and East Grand Forks, Minnesota, causing US$2\xa0billion in damage.', 'April 21 – A Pegasus rocket carries the remains of 24 people into earth orbit, in the first space burial.', 'April 22\nHaouch Khemisti massacre: 93 villagers are killed in Algeria.\nA 126-day hostage crisis at the residence of the Japanese ambassador in Lima, Peru.', 'Haouch Khemisti massacre: 93 villagers are killed in Algeria.', 'A 126-day hostage crisis at the residence of the Japanese ambassador in Lima, Peru.', 'April 23 – 42 villagers are killed in the Omaria massacre in Algeria.', 'April 29\nThe Organisation for the Prohibition of Chemical Weapons (OPCW), CWC treaty enters into force.\nTwo trains crash at Hunan, China; 126 are killed.', 'The Organisation for the Prohibition of Chemical Weapons (OPCW), CWC treaty enters into force.', 'Two trains crash at Hunan, China; 126 are killed.']"
5,"['May 1 - Tony Blair becomes Prime Minister of the United Kingdom, as the Labour Party wins the 1997 United Kingdom general election and returns to government for the first time in 18 years.', 'May 3 – Katrina and the Waves win the Eurovision Song Contest 1997 for the United Kingdom with ""Love Shine a Light"".', 'May 9 – The first genetically modified three-parent baby is born.', 'May 10 – The 7.3 Mw\u202f Qayen earthquake strikes eastern Iran with a maximum Mercalli intensity of X (Extreme). At least 1,567 were killed and 2,300 were injured.', ""May 11 – IBM's Deep Blue defeats Garry Kasparov in the last game of the rematch, the first time a computer beats a chess World champion in a match."", 'May 12\nThe Russian–Chechen Peace Treaty is signed.\nAn F1-rated tornado strikes downtown Miami, causing $525,000 in damages. Pictures and videos of this tornado made news headlines around the world.', 'The Russian–Chechen Peace Treaty is signed.', 'An F1-rated tornado strikes downtown Miami, causing $525,000 in damages. Pictures and videos of this tornado made news headlines around the world.', 'May 15 – The United States government acknowledges existence of the ""Secret War"" in Laos (1953–1975) during the Vietnam War, and dedicates the Laos Memorial in honor of Hmong and other ""Secret War"" veterans.', 'May 16\nPresident Mobutu Sese Seko is exiled from Zaire.\nU.S. President Bill Clinton issues a formal apology to the surviving victims of the Tuskegee Study of Untreated Syphilis in the Negro Male and their families.', 'President Mobutu Sese Seko is exiled from Zaire.', 'U.S. President Bill Clinton issues a formal apology to the surviving victims of the Tuskegee Study of Untreated Syphilis in the Negro Male and their families.', 'May 17 – Troops of Laurent Kabila march into Kinshasa.', 'May 23 – Mohammad Khatami wins the 1997 Iranian presidential election and becomes the first Iranian Reformist president.', 'May 25 – A military coup in Sierra Leone replaces President Ahmad Tejan Kabbah with Major Johnny Paul Koroma.', 'May 27 – The second-deadliest tornado of the 1990s hits in Jarrell, Texas, killing 27 people.', ""May 31 – The 13-kilometer Confederation Bridge, the world's longest bridge spanning ice-covered waters, opens between Prince Edward Island and New Brunswick, Canada.""]"
6,"['June 1\nSocialist Party-led Centre-left coalition won the second-round in 1997 French legislative elections, began with the third Cohabitation (1997–2002).\nHugo Banzer wins the Presidential elections in Bolivia.', 'Socialist Party-led Centre-left coalition won the second-round in 1997 French legislative elections, began with the third Cohabitation (1997–2002).', 'Hugo Banzer wins the Presidential elections in Bolivia.', 'June 2 – In Denver, Colorado, Timothy McVeigh is convicted on 15 counts of murder and conspiracy for his role in the 1995 Oklahoma City bombing.', ""June 10 – Khmer Rouge leader Pol Pot orders the killing of his defense chief, Son Sen, and 11 of Sen's family members, before Pol Pot flees his northern stronghold."", 'June 11 – In the United Kingdom, the House of Commons votes for a total ban on handguns.', 'June 13 – A jury sentences Timothy McVeigh to death for his part in the 1995 Oklahoma City bombing.', ""June 16 – About 50 people are killed in the Daïat Labguer (M'sila) massacre in Algeria."", ""June 21 – The Women's National Basketball Association (WNBA) plays its first game at The Great Western Forum in Los Angeles."", 'June 25\nA massive eruption of the Soufrière Hills volcano on the island of Montserrat leads to evacuation and eventual abandonment of the capital, Plymouth.\nAn unmanned Progress spacecraft collides with the Russian space station Mir.', 'A massive eruption of the Soufrière Hills volcano on the island of Montserrat leads to evacuation and eventual abandonment of the capital, Plymouth.', 'An unmanned Progress spacecraft collides with the Russian space station Mir.', 'June 26 – Bertie Ahern is appointed as the 10th Taoiseach of the Republic of Ireland and Mary Harney is appointed as the 16th, and first female, Tánaiste, after their parties, Fianna Fáil and the Progressive Democrats respectively, win the 1997 General Election.', ""June 26 – Bloomsbury Publishing publishes J. K. Rowling's Harry Potter and the Philosopher's Stone in London.""]"
7,"['July – The 1997 Central European flood occurs across Poland, Germany, and the Czech Republic.', ""July 1 – The United Kingdom hands sovereignty of Hong Kong to the People's Republic of China."", 'July 2 – The Bank of Thailand floats the baht, triggering the Asian financial crisis.', ""July 4 – NASA's Pathfinder space probe lands on the surface of Mars."", ""July 5\nIn Cambodia, Hun Sen of the Cambodian People's Party overthrows Norodom Ranariddh in a coup.\nThe Egyptian Islamic Group announces a cessation-of-violence initiative."", ""In Cambodia, Hun Sen of the Cambodian People's Party overthrows Norodom Ranariddh in a coup."", 'The Egyptian Islamic Group announces a cessation-of-violence initiative.', 'July 8 – NATO invites the Czech Republic, Hungary, and Poland to join the alliance in 1999.', 'July 10 – In London, scientists report their DNA analysis findings from a Neanderthal skeleton, which support the out of Africa theory of human evolution, placing an ""African Eve"" at 100,000 to 200,000 years ago.', ""July 11 – Thailand's worst hotel fire at Pattaya kills 90."", 'July 13 – The remains of Che Guevara are returned to Cuba for burial, alongside some of his comrades. Guevara and his comrades were executed on October 9 1967 in Bolivia.', ""July 15 – Spree killer Andrew Cunanan shoots fashion designer Gianni Versace dead outside Versace's Miami Beach residence."", 'July 17 – The F. W. Woolworth Company closes after 117 years in business.', ""July 25 – K. R. Narayanan is sworn in as India's 10th president and the first member of the Dalit caste to hold this office."", 'July 27 – About 50 are killed in the Si Zerrouk massacre in Algeria.', 'July 30 – 18 people are killed in the Thredbo landslide in the Snowy Mountains resort in Australia.']"
8,"['August 1 – Boeing and McDonnell Douglas complete a merger.', 'August 3 – Between 40 and 76 villagers are killed in the Oued El-Had and Mezouara massacre in Algeria.', 'August 3 – 11 – Two of the three islands of the Union of the Comoros – Anjouan and Mohéli – attempt to revert to colonial rule by France. The plan fails when the French government of President Jacques Chirac refuses to recolonize them, resulting in the two islands being reintegrated into the Comoros over the next two years.', 'August 6 – Korean Air Flight 801 crash lands west of Guam International Airport, resulting in the deaths of 228 people.', 'August 13 - South Park aired its first episode to Comedy Central', 'August 20 – More than 60 are killed, 15 kidnapped in the Souhane massacre in Algeria.', 'August 26\n60–100 are killed in the Beni Ali massacre in Algeria.\nThe Independent International Commission on Decommissioning is set up in Northern Ireland, as part of a peace process.', '60–100 are killed in the Beni Ali massacre in Algeria.', 'The Independent International Commission on Decommissioning is set up in Northern Ireland, as part of a peace process.', 'August 29 – Over 98 (and possibly up to 400) are killed in the Rais massacre in Algeria.', ""August 31 – Death of Diana, Princess of Wales: Diana, Princess of Wales is taken to a hospital after a car accident shortly after midnight, in the Pont de l'Alma road tunnel in Paris. She is pronounced dead at 4:00\xa0am.""]"
9,"['September 1\nDublin Regulation on treatment of applications for right of asylum under European Union law first comes into force.', 'Dublin Regulation on treatment of applications for right of asylum under European Union law first comes into force.', 'September 5\nOver 87 are killed in the Beni Messous massacre in Algeria.\nThe International Olympic Committee picks Athens, Greece, to be the host city for the 2004 Summer Olympics.', 'Over 87 are killed in the Beni Messous massacre in Algeria.', 'The International Olympic Committee picks Athens, Greece, to be the host city for the 2004 Summer Olympics.', 'September 6 – The funeral of Diana, Princess of Wales, takes place at Westminster Abbey, watched by over two billion people worldwide.', 'September 11 – Scotland votes in favour of a devolved Parliament, forming the Scottish Parliament less than two years later', 'September 15 – The Norwegian parliamentary election was held in Norway.', 'September 17 – Iraq disarmament crisis: While waiting for access to a site, UNSCOM inspectors witness and videotape Iraqi guards moving files, burning documents, and dumping waste cans into a nearby river.', 'September 18\nWales votes in favour of devolution and the formation of a National Assembly for Wales.\nAl-Qaeda carries out a terrorist attack in Mostar, Bosnia and Herzegovina.', 'Wales votes in favour of devolution and the formation of a National Assembly for Wales.', 'Al-Qaeda carries out a terrorist attack in Mostar, Bosnia and Herzegovina.', 'September 19 – 53 are killed in the Guelb El-Kebir massacre in Algeria.', ""September 21\nThe Islamic Salvation Army, the Islamic Salvation Fronts' armed wing, declares a unilateral ceasefire in Algeria.\nSt. Olaf's Church, a stone church from the 16th century in Tyrvää, Finland, is burnt down."", ""The Islamic Salvation Army, the Islamic Salvation Fronts' armed wing, declares a unilateral ceasefire in Algeria."", ""St. Olaf's Church, a stone church from the 16th century in Tyrvää, Finland, is burnt down."", 'September 25 – Iraq disarmament crisis: UNSCOM inspector Dr. Diane Seaman catches several Iraqi men sneaking out the back door of an inspection site, with log books for the creation of prohibited bacteria and chemicals.', 'September 26\nGaruda Indonesia Flight 152 crashes while on approach to Medan, North Sumatra, during the 1997 Southeast Asian haze, killing all 234 people on board. This becomes the deadliest aviation accident in Indonesian history.\nAn earthquake strikes the Italian regions of Umbria and Marche, causing part of the Basilica of St. Francis at Assisi to collapse.', 'Garuda Indonesia Flight 152 crashes while on approach to Medan, North Sumatra, during the 1997 Southeast Asian haze, killing all 234 people on board. This becomes the deadliest aviation accident in Indonesian history.', 'An earthquake strikes the Italian regions of Umbria and Marche, causing part of the Basilica of St. Francis at Assisi to collapse.']"
10,"['October 2 – British scientists Moira Bruce and John Collinge, with their colleagues, independently show that the new variant form of the Creutzfeldt–Jakob disease is the same disease as Bovine spongiform encephalopathy.', 'October 3 – The President of Paraguay, Juan Carlos Wasmosy, orders the arrest of political opponent Lino Oviedo.', 'October 4 – Loomis Fargo Bank Robbery: The second largest cash robbery in U.S. history ($17.3\xa0million, mostly in small bills) occurs at the Charlotte, North Carolina office of Wells Fargo. An FBI investigation eventually results in 24 convictions and the recovery of approximately 95% of the stolen cash.', ""October 10 – Uruguay's worst air disaster occurs when Austral Líneas Aéreas Flight 2553 crashes near Nuevo Berlín, killing all 74 on board."", 'October 12 – Sidi Daoud massacre: 43 are killed at a false roadblock in Algeria.', 'October 15\nAndy Green sets the first supersonic land speed record for the ThrustSSC team, led by Richard Noble of the UK. ThrustSSC goes through the flying mile course at Black Rock Desert, Nevada at an average speed of 1,227.985\xa0km/h (763.035\xa0mph).\nNASA launches the Cassini–Huygens probe to Saturn.', 'Andy Green sets the first supersonic land speed record for the ThrustSSC team, led by Richard Noble of the UK. ThrustSSC goes through the flying mile course at Black Rock Desert, Nevada at an average speed of 1,227.985\xa0km/h (763.035\xa0mph).', 'NASA launches the Cassini–Huygens probe to Saturn.', 'October 16 – The first color photograph appears on the front page of The New York Times.', 'October 17 – The remains of Che Guevara are laid to rest with full military honours in a specially built mausoleum in the city of Santa Clara, Cuba, where he had won the decisive battle of the Cuban Revolution 39 years before.', 'October 22 – Danish escaped criminal Steen Christensen robs the Hotel Palace in Helsinki, Finland, killing two police officers while evading capture.', 'October 29 – Iraq disarmament crisis: Iraq says it will begin shooting down Lockheed U-2 surveillance planes being used by UNSCOM inspectors.']"
