Month No.,Month-Day(s)-Events
1,"['January 1 – The euro currency is established and the European Central Bank assumes its full powers.', 'January 3 – The Mars Polar Lander is launched by NASA.', 'January 25 – The 6.2 Mw\u202f Armenia, Colombia earthquake hits western Colombia, killing at least 1,900.']"
2,"['February 7 – Abdullah II inherits the throne of Jordan, following the death of his father King Hussein.', 'February 11 – Pluto moves along its eccentric orbit further from the Sun than Neptune. It had been nearer than Neptune since 1979, and will become again in 2231.', 'February 12 – U.S. President Bill Clinton is acquitted in impeachment proceedings in the United States Senate.', 'February 16\nIn Uzbekistan, an apparent assassination attempt against President Islam Karimov takes place at government headquarters.\nAcross Europe, Kurdish rebels take over embassies and hold hostages after Turkey arrests one of their rebel leaders.', 'In Uzbekistan, an apparent assassination attempt against President Islam Karimov takes place at government headquarters.', 'Across Europe, Kurdish rebels take over embassies and hold hostages after Turkey arrests one of their rebel leaders.', 'February 23\nKurdish rebel leader Abdullah Öcalan is charged with treason in Ankara, Turkey.\n1999 Galtür avalanche: An avalanche destroys the village of Galtür, Austria, killing 31.', 'Kurdish rebel leader Abdullah Öcalan is charged with treason in Ankara, Turkey.', '1999 Galtür avalanche: An avalanche destroys the village of Galtür, Austria, killing 31.', 'February 27 – While trying to circumnavigate the world in a hot air balloon, Colin Prescot and Andy Elson set a new endurance record after being aloft for 233 hours and 55\xa0minutes.']"
3,"['March 1\nOne of four bombs detonated in Lusaka, Zambia, destroys the Angolan Embassy.\nRwandan Hutu rebels kill and dismember eight foreign tourists at the Buhoma homestead, Uganda.\nThe Convention on the Prohibition of Anti-Personnel Mines comes into force.', 'One of four bombs detonated in Lusaka, Zambia, destroys the Angolan Embassy.', 'Rwandan Hutu rebels kill and dismember eight foreign tourists at the Buhoma homestead, Uganda.', 'The Convention on the Prohibition of Anti-Personnel Mines comes into force.', 'March 12 – Former Warsaw Pact members Hungary, Poland, and the Czech Republic join NATO.', 'March 15 – The Santer Commission of the EU resigns over allegations of corruption.', 'March 21\nBertrand Piccard and Brian Jones become the first to circumnavigate the Earth in a hot air balloon.\nThe 71st Academy Awards are held at the Dorothy Chandler Pavilion in Los Angeles with Shakespeare in Love winning Best Picture.', 'Bertrand Piccard and Brian Jones become the first to circumnavigate the Earth in a hot air balloon.', 'The 71st Academy Awards are held at the Dorothy Chandler Pavilion in Los Angeles with Shakespeare in Love winning Best Picture.', 'March 24\nNATO launches air strikes against the Federal Republic of Yugoslavia, marking the first time NATO has attacked a sovereign state.\nA fire in the Mont Blanc Tunnel kills 39 people, closing the tunnel for nearly three years.', 'NATO launches air strikes against the Federal Republic of Yugoslavia, marking the first time NATO has attacked a sovereign state.', 'A fire in the Mont Blanc Tunnel kills 39 people, closing the tunnel for nearly three years.', 'March 26 – The Melissa worm attacks the Internet.', 'March 27 – Kosovo War: A U.S. F-117 Nighthawk is shot down by Yugoslav forces.', 'March 29 – For the first time, the Dow Jones Industrial Average closes above the 10,000 mark, at 10,006.78.']"
4,"[""April 1 – Nunavut, an Inuit homeland, is created from the eastern portion of the Northwest Territories to become Canada's third territory."", 'April 5\nTwo Libyans suspected of bringing down Pan Am Flight 103 in 1988 are handed over to Scottish authorities for eventual trial in the Netherlands. The United Nations suspends sanctions against Libya.\nIn Laramie, Wyoming, Russell Henderson pleads guilty to kidnapping and felony murder, in order to avoid a possible death penalty conviction for the apparent hate crime killing of Matthew Shepard.', 'Two Libyans suspected of bringing down Pan Am Flight 103 in 1988 are handed over to Scottish authorities for eventual trial in the Netherlands. The United Nations suspends sanctions against Libya.', 'In Laramie, Wyoming, Russell Henderson pleads guilty to kidnapping and felony murder, in order to avoid a possible death penalty conviction for the apparent hate crime killing of Matthew Shepard.', ""April 7 – Kosovo War: Kosovo's main border crossings are closed by Yugoslav forces to prevent Kosovar Albanians from leaving."", 'April 9 – Ibrahim Baré Maïnassara, president of Niger, is assassinated.', 'April 14 – Kosovo War: NATO warplanes repeatedly bomb ethnic Albanian refugee convoys for 2 hours over a 12-mile stretch of road, after mistaking them for Yugoslav military trucks, between Đakovica and Dečani in western Kosovo, killing at least 73 refugees.', 'April 20 – Columbine High School massacre: Two Littleton, Colorado, teenagers, Eric Harris and Dylan Klebold, open fire on their teachers and classmates, killing 12 students and 1 teacher, and then themselves.', 'April 24 – Namibian Economic Society is founded.', 'April 26\nSultan Salahuddin of Selangor becomes the 11th Yang di-Pertuan Agong of Malaysia.\nBritish TV presenter Jill Dando, 37, is shot dead on the doorstep of her home in Fulham, London.', 'Sultan Salahuddin of Selangor becomes the 11th Yang di-Pertuan Agong of Malaysia.', 'British TV presenter Jill Dando, 37, is shot dead on the doorstep of her home in Fulham, London.', 'April 30 – Cambodia joins the Association of Southeast Asian Nations (ASEAN), bringing the total members to 10.']"
5,"['May 3 – 1999 Oklahoma tornado outbreak: a devastating tornado, rated F5 on the Fujita scale, hits southern and eastern Oklahoma City metropolitan area, killing 36 people (and 5 indirectly) and producing the highest winds recorded on Earth: 301\xa0±\xa020\xa0mph (484\xa0±\xa032\xa0km/h).', 'May 7\nKosovo War: in the Federal Republic of Yugoslavia, three Chinese embassy workers are killed and twenty others wounded when a NATO B-2 aircraft bombs the Chinese Embassy in Belgrade.\nIn Guinea-Bissau, President João Bernardo Vieira is ousted in a military coup.', 'Kosovo War: in the Federal Republic of Yugoslavia, three Chinese embassy workers are killed and twenty others wounded when a NATO B-2 aircraft bombs the Chinese Embassy in Belgrade.', 'In Guinea-Bissau, President João Bernardo Vieira is ousted in a military coup.', 'May 12 – David Steel becomes the first Presiding Officer (Speaker) of the modern Scottish Parliament.', 'May 13 – Carlo Azeglio Ciampi is elected President of Italy.', 'May 17 – Ehud Barak is elected prime minister of Israel.', 'May 26\nThe Indian Air Force launches an attack on intruding Pakistan Army troops and mujahideen militants in Kashmir.\nThe 1999 UEFA Champions League Final takes place at the Camp Nou Stadium, Barcelona, in which the English side Manchester United defeats the German side Bayern Munich 2–1.', 'The Indian Air Force launches an attack on intruding Pakistan Army troops and mujahideen militants in Kashmir.', 'The 1999 UEFA Champions League Final takes place at the Camp Nou Stadium, Barcelona, in which the English side Manchester United defeats the German side Bayern Munich 2–1.', 'May 27 – The International Criminal Tribunal for the former Yugoslavia in The Hague, Netherlands indicts Slobodan Milošević and four others for war crimes and crimes against humanity committed in Kosovo.', ""May 28\nTwo Swedish police officers are wounded by bank robbers armed with automatic firearms, and later executed with their own service pistols in Malexander, Sweden.\nAfter 22 years of restoration work, Leonardo da Vinci's The Last Supper is placed back on display in Milan, Italy."", 'Two Swedish police officers are wounded by bank robbers armed with automatic firearms, and later executed with their own service pistols in Malexander, Sweden.', ""After 22 years of restoration work, Leonardo da Vinci's The Last Supper is placed back on display in Milan, Italy."", 'May 29 – Nigeria terminates military rule, and the Fourth Nigerian Republic is established with Olusegun Obasanjo as president.']"
6,"['June 1 – Napster, a music downloading service, is created; it would later inspire other file-sharing sites such as The Pirate Bay, LimeWire, Gnutella, Kazaa, Morpheus, BearShare, and uTorrent 1999-2010 period which some called the ""Second Golden Age of Piracy"".', ""June 2 – The King of Bhutan allows television transmissions to commence in the Kingdom for the first time, coinciding with the King's Silver Jubilee."", 'June 5 – The Islamic Salvation Army, the armed wing of the Islamic Salvation Front, agrees in principle to disband in Algeria.', ""June 8 – The government of Colombia announces it will include the estimated value of the country's illegal drug crops, exceeding half a billion US dollars, in its gross national product."", 'June 9 – Kosovo War: Yugoslavia and NATO sign a peace treaty to end their hostilities.', 'June 10 – Kosovo War: NATO suspends its air strikes after Slobodan Milošević agrees to withdraw Yugoslav forces from Kosovo.', 'June 12 – Kosovo War: Operation Joint Guardian/Operation Agricola begins: NATO-led United Nations peacekeeping forces KFOR enter Kosovo, Yugoslavia.', ""June 16 – Thabo Mbeki is inaugurated as the second president of South Africa, marking the first peaceful transfer of executive power in the country's post-democratization history."", 'June 18 – The J18 international anti-globalization protests are organized in dozens of cities around the world, some of which led to riots.', 'June 19 – Turin, Italy, is awarded the 2006 Winter Olympics.', 'June 24 – Kosovo War: NATO marines shoot three gunmen in Kosovo, Yugoslavia after being attacked by the latter, killing one of them and injuring the other two.', 'June 25 – Bosnia and Herzegovina gets a new national anthem.', 'June 30 – Twenty-three people die in a fire at the Sealand Youth Training Center in South Korea.']"
7,"[""July 1 – Europol (short for European Police Office) the European Union's criminal intelligence agency becomes fully operational."", 'July 7 – In Rome, Hicham El Guerrouj runs the fastest mile ever recorded, at 3:43.13.', ""July 10 – American soccer player Brandi Chastain scores the game winning penalty kick against China in the final of the FIFA Women's World Cup."", 'July 11 – India recaptures Kargil, forcing the Pakistani army to retreat. India announces victory, ending the 2-month conflict.', ""July 20\nMercury program: Liberty Bell 7 – piloted by Gus Grissom in 1961 – is raised from the Atlantic Ocean.\nFalun Gong is banned in the People's Republic of China under Jiang Zemin."", 'Mercury program: Liberty Bell 7 – piloted by Gus Grissom in 1961 – is raised from the Atlantic Ocean.', ""Falun Gong is banned in the People's Republic of China under Jiang Zemin."", ""July 23\nNASA's Chandra X-ray Observatory is launched.\nMohammed VI of Morocco becomes king upon the death of his father Hassan II.\nFourteen Kosovar Serb villagers are killed by ethnic Albanian gunmen in the village of Staro Gračko."", ""NASA's Chandra X-ray Observatory is launched."", 'Mohammed VI of Morocco becomes king upon the death of his father Hassan II.', 'Fourteen Kosovar Serb villagers are killed by ethnic Albanian gunmen in the village of Staro Gračko.', 'July 27 – Twenty-one people die in a canyoning disaster at the Saxetenbach Gorge near Interlaken, Switzerland.', 'July 31 – NASA intentionally crashes the Lunar Prospector spacecraft into the Moon, thus ending its mission to detect frozen water on the lunar surface.']"
8,"['August 7 – Hundreds of Chechen guerrillas invade the Russian republic of Dagestan, triggering a short war.', 'August 10 – The Atlantique incident occurs as an intruding Pakistan Navy plane is shot down in India, sparking tensions between the two nations, coming just a month after the end of the Kargil War.', 'August 11 – A total solar eclipse is seen in Europe and Asia.', 'August 16 – State Duma approved Putin as Prime Minister', 'August 17 – The 7.6 Mw\u202f İzmit earthquake shakes northwestern Turkey with a maximum Mercalli intensity of IX (Violent), leaving more than 17,000 dead and around 50,000 injured.', 'August 19 – In Belgrade, tens of thousands of Yugoslavs rally to demand the resignation of Yugoslav President Slobodan Milošević.', 'August 26 – The Second Chechen War begins', 'August 30 – East Timor votes for independence from Indonesia (which had invaded and occupied it since 1975) in a referendum.']"
9,"['September 3 – The 1999 Ontario Highway 401 crash occurs, involving 87 vehicles and killing 8.', 'September 7 – The 6.0 Mw\u202f Athens earthquake hits with a maximum Mercalli intensity of IX (Violent), killing 143, injuring 800–1,600, and leaving 50,000 homeless.', 'September 8 – The first of a series of Russian apartment bombings occurs. Subsequent bombings occur on September 13 and 16, while a bombing on September 22 fails.', 'September 12 – Under international pressure to allow an international peacekeeping force, Indonesian president BJ Habibie announces that he will do so.', 'September 14 – Kiribati, Nauru and Tonga join the United Nations.', 'September 21 – The 1999 Jiji earthquake, also known as the ""921 earthquake"" locally (magnitude 7.7 on the Richter scale), kills about 2,400 people in Taiwan.']"
10,"['October\nConacami, Peruvian indigenous rights organization is founded.\nNASA loses one of its probes, the Mars Climate Orbiter.', 'Conacami, Peruvian indigenous rights organization is founded.', 'NASA loses one of its probes, the Mars Climate Orbiter.', 'October 1 – Shanghai Pudong International Airport opens in China, taking over all international flights from Hongqiao.', 'October 5 – Thirty-one people die in the Ladbroke Grove rail crash, west of London, England.', ""October 12 – Pakistani Prime Minister Nawaz Sharif attempts to dismiss Army Chief General Pervez Musharraf, who is out of the country. The generals lead a coup d'état, ousting Sharif's administration, and Musharraf takes control of the government."", 'October 27 – Gunmen open fire in the Armenian Parliament, killing Prime Minister Vazgen Sargsyan, Parliament Chairman Karen Demirchyan, and six other members.', 'October 29 – A super cyclonic storm impacts Orissa, India, killing approximately 10,000 people.', 'October 30 – 1999 Inchon bar fire\xa0: A pub catches fire in Inchon, South Korea, killing 56 people.', 'October 31\nEgyptAir Flight 990, travelling from New York City to Cairo, crashes off the coast of Nantucket, Massachusetts, killing all 217 on board.\nRoman Catholic Church and several Lutheran Church leaders sign the Joint Declaration on the Doctrine of Justification, attempting to resolve a centuries-old doctrinal dispute over the nature of faith and salvation.', 'EgyptAir Flight 990, travelling from New York City to Cairo, crashes off the coast of Nantucket, Massachusetts, killing all 217 on board.', 'Roman Catholic Church and several Lutheran Church leaders sign the Joint Declaration on the Doctrine of Justification, attempting to resolve a centuries-old doctrinal dispute over the nature of faith and salvation.']"
