Month No.,Month-Day(s)-Events
1,"['January 1 – The International Telecommunication Union, a specialist agency of the League of Nations, is established.', 'January 15 – The 8.0 Mw\u202f Nepal–Bihar earthquake strikes Nepal and Bihar with a maximum Mercalli intensity of XI (Extreme), killing an estimated 6,000–10,700 people.', 'January 26 – A 10-year German–Polish declaration of non-aggression is signed by Nazi Germany and the Second Polish Republic.', 'January 30\nIn Nazi Germany, the political power of federal states such as Prussia is substantially abolished, by the ""Law on the Reconstruction of the Reich"" (Gesetz über den Neuaufbau des Reiches).\nFranklin D. Roosevelt, President of the United States, signs the Gold Reserve Act: all gold held in the Federal Reserve is to be surrendered to the United States Department of the Treasury; immediately following, the President raises the statutory gold price from US$20.67 per ounce to $35.', 'In Nazi Germany, the political power of federal states such as Prussia is substantially abolished, by the ""Law on the Reconstruction of the Reich"" (Gesetz über den Neuaufbau des Reiches).', 'Franklin D. Roosevelt, President of the United States, signs the Gold Reserve Act: all gold held in the Federal Reserve is to be surrendered to the United States Department of the Treasury; immediately following, the President raises the statutory gold price from US$20.67 per ounce to $35.', ""February 6 – French political crisis: The French far-right leagues rally in front of the Palais Bourbon, in an attempted coup d'état against the Third Republic."", 'February 9\nGaston Doumergue forms a new government in France.\nGreece, Romania, Turkey and Yugoslavia form the Balkan Pact.', 'Gaston Doumergue forms a new government in France.', 'Greece, Romania, Turkey and Yugoslavia form the Balkan Pact.', 'February 12 – 16 – Austrian Civil War: The Fatherland Front consolidates its power, in a series of clashes across the country.', 'February 16 – The Commission of Government is sworn in, as a form of direct rule for the Dominion of Newfoundland.', 'February 21 – Augusto César Sandino is assassinated in Managua, by the National Guard.', 'February 23 – King Leopold III of Belgium succeeds to the throne, following the death (February 17) of his father King Albert I.']"
2,"['March 1 – Manchuria becomes Manchukuo, following an invasion by the Japanese.', 'March 12 – Prime Minister Konstantin Päts stages a self-coup by declaring a state of emergency in Estonia, with the approval of the parliament.', 'March 13 – John Dillinger and his gang rob the First National Bank in Mason City, Iowa, United States, stealing $52,000.', 'March 20 – The Great Hakodate Fire kills at least 2,166 people in southern Hokkaido, Japan.', 'March 24 – The Tydings–McDuffie Act is passed, allowing the Philippines a greater degree of self-government from the United States.', 'April 21 – The ""surgeon\'s photograph"" of the Loch Ness Monster, taken in Scotland by London gynaecologist Robert Kenneth Wilson and in 1994 admitted to be a hoax, is published in the Daily Mail London national newspaper.']"
3,"['May 1 – The May Constitution of 1934 heralds the beginning of the Austrofascist Federal State of Austria.', 'May 15 – Kārlis Ulmanis establishes an authoritarian government in Latvia.', ""May 19 – Kimon Georgiev stages a coup d'état in Bulgaria."", 'May 23 – American outlaws Bonnie and Clyde are ambushed and killed by police in Bienville Parish, Louisiana.', 'May 28 – Near Callander, Ontario, Canada, the Dionne quintuplets are born to Oliva and Elzire Dionne, becoming the first quintuplets to survive infancy.', 'June 10 – Italy beats Czechoslovakia 2–1 after extra time, to win the 1934 World Cup, staged in Italy.', 'June 14 – Adolf Hitler and Benito Mussolini meet for the first time, at the Venice Biennale.', 'June 18 – The Indian Reorganization Act is enacted.', 'June 27 – The Emir of Yemen and Ibn Saud of Saudi Arabia conclude a peace treaty.', 'June 30 – July 2 – Night of the Long Knives in Germany: Nazis purge the Sturmabteilung (SA), the left-wing Strasserist faction of the Nazi Party, and prominent conservative anti-Nazis, in a series of political murders.', 'June 30 – The Nazi Party SA camp Oranienburg becomes a national camp, taken over by the Schutzstaffel (SS).']"
4,"['July 13 – Hitler gives a speech to the Reichstag, justifying his purge.', 'July 25 – July Putsch: Austrian Nazis assassinate chancellor Engelbert Dollfuss, during a failed coup attempt.', 'August 2 – Adolf Hitler becomes Führer of Germany, or head of state combined with that of Chancellor, following the death of President Paul von Hindenburg.', 'August 8 – The Wehrmacht swears a personal oath of loyalty to Adolf Hitler.', 'August 15 – The United States Marine Corps leaves Haiti.', ""August 19 – 1934 German referendum: In a referendum, 90% of the German population approves of Hitler's assumption of presidential powers, as Führer and Reichskanzler.""]"
5,"[""September 4 – Evelyn Waugh's novel A Handful of Dust was first published in full."", 'September 5 – 10 – The 6th Nuremberg Rally is staged by the German Nazi Party.', 'September 8 – Off the New Jersey coast, a fire aboard the passenger liner SS\xa0Morro Castle kills 134 people.', ""September 15 – 1934 Australian federal election: Joseph Lyons' UAP Government is re-elected with a decreased majority, defeating the Labor Party, led by former Prime Minister James Scullin. Consequently, Lyons is forced to resume the Coalition with the Country Party, and include them in his government. Scullin steps down from the Labor leadership shortly after; he is replaced by future Prime Minister John Curtin."", 'September 19\nThe Soviet Union joins the League of Nations.\nBruno Richard Hauptmann is arrested in connection with the Lindbergh kidnapping case in the U.S.', 'The Soviet Union joins the League of Nations.', 'Bruno Richard Hauptmann is arrested in connection with the Lindbergh kidnapping case in the U.S.', 'September 21 – The Muroto typhoon in Honshū, Japan kills 3,036 people, and destroys the temple, schools, and other buildings in Osaka.', 'September 22 – A gas explosion at Gresford Colliery in Wrexham, north-east Wales, kills 266 miners and rescuers.', 'September 28 – Afghanistan joins the League of Nations.', 'October 2 – A typhoon in Osaka and Kyoto, Japan, kills 1,660, injures 5,400, and destroys the rice harvest.', 'October 6 – Events of October the 6th: the President of Catalonia, Lluís Companys, declares the Catalan State of the Spanish Federal Republic, but Spanish troops swiftly crush the Catalan forces, and arrest him and the members of the Catalan government. The autonomy of Catalonia is suspended until 1936.', ""October 9 – King Alexander of Yugoslavia and French foreign minister Louis Barthou are assassinated, during the king's state visit in Marseille."", ""October 16 – The Long March of the People's Liberation Army of the Chinese Communist Party begins."", 'October 20 – November 3 – Charles Kingsford Smith makes the first eastward crossing of the Pacific Ocean, from his native Brisbane, Australia, to San Francisco, in the Lockheed Altair Lady Southern Cross. The November 3 Hawaii–San Francisco leg is the first eastward flight from Hawaii to North America.', 'October 20 – November 5 – The MacRobertson Air Race is flown from RAF Mildenhall in England to Melbourne, Australia, to celebrate the centenary of the state of Victoria. The overall winner is the British de Havilland DH.88 Comet G-ACSS Grosvenor House, flown by C. W. A. Scott and Tom Campbell Black.']"
6,"['November 23 – An Anglo-Ethiopian boundary commission in the Ogaden discovers an Italian garrison at Walwal, which lies well within Ethiopian territory.   This encounter leads to the Abyssinia Crisis.', 'November 27– Daniel Salamanca Urey, President of Bolivia, is deposed in a military coup, and replaced by José Luis Tejada Sorzano.', 'December 2 – The continental jazz group Quintette du Hot Club de France first performs in Paris, led by guitarist Django Reinhardt, with violinist Stéphane Grappelli.', 'December 5 – Abyssinia Crisis: Ethiopian and Italian troops exchange gunfire. Reported casualties for the Ethiopians are 150, and for the Italians 50.', ""December 21 – Lieutenant Kijé, one of Sergei Prokofiev's best-known works, premiered."", 'December 27 – Persia becomes Iran.', 'December 29 – Japan renounces the Washington Naval Treaty of 1922, and the London Naval Treaty of 1930.']"
7,"['Winter – Tadj ol-Molouk, Empress consort of Iran, and her daughters appear publicly in Tehran without a veil, leading to its abolition in the country.', 'Abidjan becomes the capital of the French colony of Ivory Coast.', 'The sonoluminescence effect is discovered, at the University of Cologne.', 'The Australian frontier wars end, after 146 years.', 'The Yomiuri Giants, a successful professional baseball club in Japan, is founded in Tokyo.']"
8,"['January 4 – Rudolf Schuster, 2nd President of Slovakia', 'January 5 – Eddy Pieters Graafland, Dutch football goalkeeper (d. 2020)', 'January 7\nCharles Jenkins, American sprinter\nTassos Papadopoulos, Cypriot politician, 5th President of Cyprus (d. 2008)', 'Charles Jenkins, American sprinter', 'Tassos Papadopoulos, Cypriot politician, 5th President of Cyprus (d. 2008)', 'January 8 – Jacques Anquetil, French road cyclist (d. 1987)', 'January 10 – Leonid Kravchuk, President of Ukraine (d. 2022)', 'January 11 – Jean Chrétien, 20th Prime Minister of Canada', 'January 14\nRichard Briers, English actor (d. 2013)\nPierre Darmon, French tennis player', 'Richard Briers, English actor (d. 2013)', 'Pierre Darmon, French tennis player', 'January 16 – Marilyn Horne, American mezzo-soprano', 'January 17 – Cedar Walton, American jazz pianist (d. 2013)', 'January 18 – Raymond Briggs, British writer and illustrator (d. 2022)', 'January 20 – Tom Baker, British actor', 'January 21 – Ann Wedgeworth, American actress (d. 2017)', 'January 22 – Bill Bixby, American actor and director (d. 1993)', 'January 24 – Stanisław Grochowiak, Polish poet and dramatist (d. 1976)', 'January 27 – Édith Cresson, Prime Minister of France', 'January 30 – Tammy Grimes, American actress (d. 2016)', 'January 31 – Eva Mozes Kor, Romanian Holocaust survivor and author (d. 2019)']"
9,"['February 7\nEddie Fenech Adami, 10th Prime Minister of Malta and 7th President of Malta\nKing Curtis, African-American saxophonist (d. 1971)', 'Eddie Fenech Adami, 10th Prime Minister of Malta and 7th President of Malta', 'King Curtis, African-American saxophonist (d. 1971)', 'February 10 – Fleur Adcock, New Zealand poet', 'February 11\nManuel Noriega, Panamanian military dictator (d. 2017)\nJohn Surtees, British racing driver (d. 2017)', 'Manuel Noriega, Panamanian military dictator (d. 2017)', 'John Surtees, British racing driver (d. 2017)', 'February 12 – Anne Krueger, American economist', 'February 13 – George Segal, American actor (d. 2021)', 'February 14 – Florence Henderson, American actress, singer and television personality (d. 2016)', 'February 15 – Niklaus Wirth, Swiss computer scientist', 'February 17\nSir Alan Bates, British actor (d. 2003)\nBarry Humphries, Australian actor, comedian', 'Sir Alan Bates, British actor (d. 2003)', 'Barry Humphries, Australian actor, comedian', 'February 18\nAnna Maria Ferrero, Italian actress (d. 2018)\nPaco Rabanne, Spanish fashion designer', 'Anna Maria Ferrero, Italian actress (d. 2018)', 'Paco Rabanne, Spanish fashion designer', 'February 21 – Rue McClanahan, American actress (d. 2010)', 'February 24\nBettino Craxi, Prime Minister of Italy (d. 2000)\nRenata Scotto, Italian soprano\nBingu wa Mutharika, Malawian President, economist (d. 2012)', 'Bettino Craxi, Prime Minister of Italy (d. 2000)', 'Renata Scotto, Italian soprano', 'Bingu wa Mutharika, Malawian President, economist (d. 2012)', 'February 27 – Ralph Nader, American consumer activist and presidential candidate']"
10,"['March 1 – Joan Hackett, American actress (d. 1983)', 'March 3 – Bobby Locke, American baseball player (d. 2020)', 'March 4\nAnne Haney, American actress (d. 2001)\nGia Scala, British actress (d. 1972)', 'Anne Haney, American actress (d. 2001)', 'Gia Scala, British actress (d. 1972)', 'March 5 – Daniel Kahneman, Israeli economist and Nobel laureate', 'March 6 – Milton Diamond, American sexologist and professor of anatomy and reproductive biology', 'March 9\nYuri Gagarin, Russian cosmonaut, first human in space (d. 1968)\nJoyce Van Patten, American actress', 'Yuri Gagarin, Russian cosmonaut, first human in space (d. 1968)', 'Joyce Van Patten, American actress', 'March 14\nEugene Cernan, American astronaut (d. 2017)\nDionigi Tettamanzi, Italian cardinal (d. 2017)', 'Eugene Cernan, American astronaut (d. 2017)', 'Dionigi Tettamanzi, Italian cardinal (d. 2017)', 'March 16 – Ray Hnatyshyn, Canadian statesman, 24th Governor-General of Canada (d. 2002)', 'March 18 – Charley Pride, American country musician (d. 2020)', 'March 20 – David Malouf, Australian writer', 'March 23 – Ludvig Faddeev, Russian physicist and mathematician (d. 2017)', 'March 25\nJohnny Burnette, American rockabilly singer, songwriter and musician (d. 1964)\nGloria Steinem, American feminist', 'Johnny Burnette, American rockabilly singer, songwriter and musician (d. 1964)', 'Gloria Steinem, American feminist', 'March 26 – Alan Arkin, American actor', 'March 30 – Hans Hollein, Austrian architect and designer (d. 2014)', 'March 31\nRichard Chamberlain, American actor\nShirley Jones, American singer and actress\nJohn D. Loudermilk, American singer-songwriter (d. 2016)\nCarlo Rubbia, Italian Nobel physicist', 'Richard Chamberlain, American actor', 'Shirley Jones, American singer and actress', 'John D. Loudermilk, American singer-songwriter (d. 2016)', 'Carlo Rubbia, Italian Nobel physicist']"
