Month No.,Month-Day(s)-Events
1,"['January 1 – Western Samoa becomes independent from New Zealand.', 'January 3 – Pope John XXIII excommunicates Fidel Castro for preaching communism.', 'January 8 – Harmelen train disaster: 93 die in the worst Dutch rail disaster.', 'January 9 – Cuba and the Soviet Union sign a trade pact.', 'January 12 – The Indonesian Army confirms that it has begun operations in West Irian.', ""January 13 – Albania allies itself with the People's Republic of China."", 'January 15 – Portugal abandons the U.N. General Assembly, due to the debate over Angola.', 'January 16 – A military coup occurs in the Dominican Republic.', 'January 19 – A counter-coup occurs in the Dominican Republic; the old government returns, except for the new president Rafael Filiberto Bonnelly.', ""January 22 – The Organization of American States suspends Cuba's membership; the suspension is lifted in 2009 (47 years later)."", 'January 24 – The Organisation armée secrète (OAS) bombs the French Foreign Ministry.', 'January 26 – Ranger 3 is launched to study the Moon; it later misses the Moon by 22,000\xa0mi (35,000\xa0km).', 'January 27 – The Soviet government changes all place names honoring Molotov, Kaganovich and Georgy Malenkov.', 'January 30 – Two of the high-wire ""Flying Wallendas"" are killed, when their famous seven-person pyramid collapses during a performance in Detroit.']"
2,"['February 3 – The United States embargo against Cuba is announced.', 'February 4–5 – During a new moon and solar eclipse, an extremely rare grand conjunction of the classical planets occurs (it includes all five of the naked-eye planets plus the Sun and Moon), all of them within 16° of one another on the ecliptic. A total solar eclipse is visible in Asia, Australia and the Pacific Ocean, and is the 49th solar eclipse of Solar Saros 130.', 'February 5 – French President Charles de Gaulle calls for Algeria to be granted independence.', 'February 7\nThe United States embargo against Cuba comes into effect, prohibiting all U.S.-related Cuban imports and exports.\nLuisenthal Mine Disaster: A coal mine explosion in Saarland, West Germany kills 299.', 'The United States embargo against Cuba comes into effect, prohibiting all U.S.-related Cuban imports and exports.', 'Luisenthal Mine Disaster: A coal mine explosion in Saarland, West Germany kills 299.', 'February 10 – Captured American spy pilot Francis Gary Powers is exchanged for captured Soviet spy Rudolf Abel, in Berlin.', 'February 11 – The inaugural 24 Hours of Daytona sports car endurance race is run as a 3-hour event, at Daytona Beach, Florida.', 'February 12 – Six members of the Committee of 100 of the Campaign for Nuclear Disarmament in the U.K. are found guilty of a breach of the Official Secrets Act.', 'February 14 – First Lady Jacqueline Kennedy takes television viewers on a tour of the White House.', 'February 15 – Urho Kekkonen is re-elected president of Finland.', ""February 17 – Heavy storms and high tides result in the North Sea flood of 1962 on Germany's North Sea coast, mainly around Hamburg; more than 300 people die and thousands lose their homes."", 'February 18 – 1962 NHRA Winternationals: Carol Cox becomes the first woman allowed to race at a National Hot Rod Association national event; she wins in the Super Stock class.', 'February 20 – Project Mercury: While aboard Friendship 7, John Glenn becomes the first American to orbit the Earth, three times in 4 hours, 55 minutes.', 'February 21 – Margot Fonteyn and Rudolf Nureyev first dance together in a Royal Ballet performance of Giselle, in London.']"
3,"['March 1\nAmerican Airlines Flight 1 (a Boeing 707) crashes on takeoff at New York International Airport, after a rudder malfunction causes an uncontrolled roll, resulting in the loss of control of the aircraft, with the loss of all 95 on board.\nThe S. S. Kresge Company opens its first Kmart discount store in Garden City, Michigan.', 'American Airlines Flight 1 (a Boeing 707) crashes on takeoff at New York International Airport, after a rudder malfunction causes an uncontrolled roll, resulting in the loss of control of the aircraft, with the loss of all 95 on board.', 'The S. S. Kresge Company opens its first Kmart discount store in Garden City, Michigan.', 'March 2 – A military coup in Burma brings General Ne Win to power.', 'March 7 – Ash Wednesday Storm: A snow storm batters the Mid-Atlantic.', 'March 8–12 – In Geneva, France and the Algerian FLN begin negotiations.', 'March 15 – Katangan Prime Minister Moise Tshombe begins negotiations, to rejoin the Congo.', 'March 16 – Flying Tiger Line Flight 739, a Lockheed L-1049H Super Constellation chartered by the United States Military Air Transport Service, and carrying mainly United States Army personnel bound for South Vietnam, vanishes over the western Pacific Ocean, with the loss of all 107 on board (no wreckage or bodies are ever found).', 'March 18\nÉvian Accords: France and Algeria sign an agreement in Évian-les-Bains, ending the Algerian War.\n""Un premier amour"", sung by Isabelle Aubret (music by Claude-Henri Vic, lyrics by Roland Stephane Valade), wins the Eurovision Song Contest 1962 for France.', 'Évian Accords: France and Algeria sign an agreement in Évian-les-Bains, ending the Algerian War.', '""Un premier amour"", sung by Isabelle Aubret (music by Claude-Henri Vic, lyrics by Roland Stephane Valade), wins the Eurovision Song Contest 1962 for France.', 'March 19 – An armistice begins in Algeria; however, the OAS continues its terrorist attacks against Algerians', 'March 23 – The Scandinavian States of the Nordic Council sign the Helsinki Convention on Nordic Co-operation.', 'March 24 – OAS leader Edmond Jouhaud is arrested in Oran.', 'March 26 – France shortens the term for military service from 26 months to 18.']"
4,"['April 3 – Jawaharlal Nehru is elected de facto Prime Minister of India, for the fourth time.', 'April 6 – Belgium reestablishes diplomatic relations with the Congo.', 'April 7 – Milovan Đilas, author and former vice-president of Yugoslavia is re-arrested.', 'April 8 – In France, the Évian Accords are adopted in a referendum, with a majority of 90%.', 'April 9 – The 34th Academy Awards Ceremony is held; West Side Story wins Best Picture.', 'April 13 – OAS leader Edmond Jouhaud is sentenced to death in France.', 'April 14 – A Cuban military tribunal convicts 1,179 Bay of Pigs attackers.', 'April 18 – The Commonwealth Immigration Bill in the United Kingdom removes free immigration from the citizens of member states of the Commonwealth of Nations.', 'April 20 – OAS leader Raoul Salan is arrested in Algiers.', ""April 21 – The Century 21 Exposition World's Fair opens in Seattle, United States."", 'April 26 – The Ranger 4 spacecraft crashes into the Moon.']"
5,"['May 1\nNorwich City F.C. wins the English Football League Cup, beating Rochdale in the final.\nDayton Hudson Corporation opens the first of its Target discount stores, in Roseville, Minnesota.', 'Norwich City F.C. wins the English Football League Cup, beating Rochdale in the final.', 'Dayton Hudson Corporation opens the first of its Target discount stores, in Roseville, Minnesota.', 'May 2\nAn OAS bomb explodes in Algeria; this and other attacks kill 110 and injure 147.\nS.L. Benfica beats FC Barcelona 5–3 at the Olympic Stadium (Amsterdam), to win the 1961–62 European Cup in association football.', 'An OAS bomb explodes in Algeria; this and other attacks kill 110 and injure 147.', 'S.L. Benfica beats FC Barcelona 5–3 at the Olympic Stadium (Amsterdam), to win the 1961–62 European Cup in association football.', 'May 3 – Mikawashima train crash: 160 die in a triple-train disaster near Tokyo.', 'May 5 – Twelve East Germans escape via a tunnel, under the Berlin Wall.', 'May 6\nAntonio Segni is elected President of the Italian Republic.\nA test of a W47 warhead fired from a Polaris missile, the only time a nuclear missile has been test fired with its warhead detonated, occurs near Palmyra Atoll south of Hawaii.', 'Antonio Segni is elected President of the Italian Republic.', 'A test of a W47 warhead fired from a Polaris missile, the only time a nuclear missile has been test fired with its warhead detonated, occurs near Palmyra Atoll south of Hawaii.', 'May 14\nJuan Carlos of Spain marries the Greek Princess Sophia in Athens.\nMilovan Đilas is given a further sentence in Yugoslavia, for publishing Conversations with Stalin.', 'Juan Carlos of Spain marries the Greek Princess Sophia in Athens.', 'Milovan Đilas is given a further sentence in Yugoslavia, for publishing Conversations with Stalin.', 'May 22 – Continental Airlines Flight 11 crashes near Unionville, Missouri, after the in-flight detonation of a bomb near the rear lavatory; all 45 passengers and crew aboard are killed.', 'May 23\nDrilling for the new Montreal Subway commences.\nRaoul Salan, founder of the French terrorist Organisation armée secrète, is sentenced to life imprisonment in France.\nRuben Jaramillo, Mexican peasant leader, and his wife and children, are gunned down by the Mexican army and federal police in Xochitepec, Morelos, Mexico.', 'Drilling for the new Montreal Subway commences.', 'Raoul Salan, founder of the French terrorist Organisation armée secrète, is sentenced to life imprisonment in France.', 'Ruben Jaramillo, Mexican peasant leader, and his wife and children, are gunned down by the Mexican army and federal police in Xochitepec, Morelos, Mexico.', 'May 24 – Project Mercury: Scott Carpenter orbits the Earth 3 times, in the Aurora 7 space capsule.', 'May 25 – The new Coventry Cathedral is consecrated in England.', 'May 29 – Negotiations between the OAS and the FLA lead to a real armistice in Algeria.', 'May 30 – The 1962 FIFA World Cup begins in Chile.']"
6,"[""June – Rachel Carson's Silent Spring begins serialization in The New Yorker; it is released as a book on September 27 in the U.S., giving rise to the modern environmentalist movement."", 'June 3 – Air France Flight 007 (a Boeing 707) crashes on take-off at Orly Airport in Paris; 130 of 132 people on board are killed, 2 flight attendants survive. Most victims are cultural and civic leaders of Atlanta.', 'June 11\nPresident John F. Kennedy gives the commencement address at Yale University.\nFrank Lee Morris, John Anglin and Clarence Anglin escape from the Alcatraz Island prison', 'President John F. Kennedy gives the commencement address at Yale University.', 'Frank Lee Morris, John Anglin and Clarence Anglin escape from the Alcatraz Island prison', 'June 15 – Students for a Democratic Society in the United States complete the Port Huron Statement.', 'June 17\nThe OAS signs a truce with the FLN in Algeria, but a day later announces that it will continue the fight on behalf of French Algerians.\nBrazil beats Czechoslovakia 3–1, to win the 1962 FIFA World Cup.', 'The OAS signs a truce with the FLN in Algeria, but a day later announces that it will continue the fight on behalf of French Algerians.', 'Brazil beats Czechoslovakia 3–1, to win the 1962 FIFA World Cup.', ""June 22 – Air France Flight 117 (a Boeing 707 jet) crashes into terrain during bad weather in Guadeloupe, West Indies, killing all 113 on board, the airline's second fatal accident in just 3 weeks, and the third fatal 707 crash of the year."", 'June 25\nEngel v. Vitale: The United States Supreme Court rules that mandatory prayers in public schools are unconstitutional.\nMANual Enterprises v. Day: The United States Supreme Court rules that photographs of nude men are not obscene, decriminalizing nude male pornographic magazines.\nİsmet İnönü of the CHP forms the new government of Turkey (27th government, coalition partners; YTP and CKMP).', 'Engel v. Vitale: The United States Supreme Court rules that mandatory prayers in public schools are unconstitutional.', 'MANual Enterprises v. Day: The United States Supreme Court rules that photographs of nude men are not obscene, decriminalizing nude male pornographic magazines.', 'İsmet İnönü of the CHP forms the new government of Turkey (27th government, coalition partners; YTP and CKMP).', 'June 26 – A 2-day steel strike begins in Italy, in support of increased wages and a five-day working week.', 'June 30 – The last soldiers of the French Foreign Legion leave Algeria.']"
7,"['July 1\nRwanda and Burundi gain independence.\nAlgerian independence referendum, 1962: Supporters of Algerian independence win a 99% majority in a referendum.\nA heavy smog develops over London.\nThe Helsinki Convention on Nordic Co-operation of March 23 comes into force in the Nordic countries.', 'Rwanda and Burundi gain independence.', 'Algerian independence referendum, 1962: Supporters of Algerian independence win a 99% majority in a referendum.', 'A heavy smog develops over London.', 'The Helsinki Convention on Nordic Co-operation of March 23 comes into force in the Nordic countries.', 'July 2\nCharles de Gaulle accepts Algerian independence; the French government recognizes it the next day.\nThe first Walmart store, at this time known as Wal-Mart, opens for business in Rogers, Arkansas.', 'Charles de Gaulle accepts Algerian independence; the French government recognizes it the next day.', 'The first Walmart store, at this time known as Wal-Mart, opens for business in Rogers, Arkansas.', 'July 5 – Algeria becomes independent from France.', ""July 6 – Gay Byrne presents the first edition of The Late Late Show on RTÉ in the Republic of Ireland. Byrne goes on to present the show for 37 years, the longest period through which any individual hosts a televised talk show anywhere in the world, and the show itself becomes the world's second longest-running talk show."", ""July 9 – American artist Andy Warhol premieres his Campbell's Soup Cans exhibit in Los Angeles."", ""July 10 – AT&T's Telstar, the world's first commercial communications satellite, is launched into orbit and activated the next day."", ""July 12 – The Rolling Stones make their debut at London's Marquee Club, opening for Long John Baldry."", 'July 13 – In what the press dubs ""the Night of the Long Knives"", United Kingdom Prime Minister Harold Macmillan dismisses one-third of his Cabinet.', 'July 14 – Norma Nolan of Argentina crowned Miss Universe 1962.', 'July 17 – Nuclear testing: The ""Small Boy"" test shot Little Feller I becomes the last atmospheric test detonation, at the Nevada Test Site.', 'July 19 – The first annual Swiss & Wielder Hoop and Stick Tournament is held.', 'July 20 – France and Tunisia reestablish diplomatic relations.', 'July 22 – Mariner program: The Mariner 1 spacecraft flies erratically several minutes after launch, and has to be destroyed.', 'July 23 – Telstar relays the first live trans-Atlantic television signal.', 'July 25\nThe first armed helicopter company of the United States Army is formed at Okinawa, Japan.\nThe International Agreement on the Neutrality of Laos is signed in Geneva.', 'The first armed helicopter company of the United States Army is formed at Okinawa, Japan.', 'The International Agreement on the Neutrality of Laos is signed in Geneva.', ""July 31\nAlgeria proclaims independence; Ahmed Ben Bella is the first President.\nA crowd assaults the rally of Sir Oswald Mosley's right-wing Union Movement in London.\nAn annular solar eclipse is visible in South America, the Atlantic Ocean, Africa and the Indian Ocean, and is the 36th solar eclipse of Solar Saros 135."", 'Algeria proclaims independence; Ahmed Ben Bella is the first President.', ""A crowd assaults the rally of Sir Oswald Mosley's right-wing Union Movement in London."", 'An annular solar eclipse is visible in South America, the Atlantic Ocean, Africa and the Indian Ocean, and is the 36th solar eclipse of Solar Saros 135.']"
8,"['August 5\nDeath of Marilyn Monroe: Marilyn Monroe is found dead from an overdose of sleeping pills and chloral hydrate at her home in Brentwood, Los Angeles; it is officially ruled a ""probable suicide"" (the exact cause has been disputed).\nNelson Mandela is arrested by the South African government near Howick, and charged with incitement to rebellion.', 'Death of Marilyn Monroe: Marilyn Monroe is found dead from an overdose of sleeping pills and chloral hydrate at her home in Brentwood, Los Angeles; it is officially ruled a ""probable suicide"" (the exact cause has been disputed).', 'Nelson Mandela is arrested by the South African government near Howick, and charged with incitement to rebellion.', 'August 6 – Jamaica becomes independent.', 'August 15 – The New York Agreement is signed, trading the West New Guinea colony to Indonesia.', 'August 16 – Algeria joins the Arab League.', 'August 17 – East German border guards kill 18-year-old Peter Fechter, as he attempts to cross the Berlin Wall into West Berlin.', 'August 18 – Norway launches its 1st sounding rocket, Ferdinand 1 from Andøya Space Center and becomes a space nation.', 'August 22 – An assassination attempt is made against French President Charles de Gaulle.', 'August 24\nA group of armed Cuban exile terrorists fire at a hotel in Havana from a speedboat.\nIndonesia officially launched television with the establishment of TVRI television network or Televisi Republik Indonesia (Indonesian National Channel)', 'A group of armed Cuban exile terrorists fire at a hotel in Havana from a speedboat.', 'Indonesia officially launched television with the establishment of TVRI television network or Televisi Republik Indonesia (Indonesian National Channel)', 'August 27 – NASA launches the Mariner 2 space probe.', 'August 31 – Trinidad and Tobago becomes independent.']"
9,"['September 1\nA referendum in Singapore supports the Malayan Federation.\nTyphoon Wanda strikes Hong Kong, killing at least 130 and injuring more than 600.', 'A referendum in Singapore supports the Malayan Federation.', 'Typhoon Wanda strikes Hong Kong, killing at least 130 and injuring more than 600.', 'September 2 – The Soviet Union agrees to send arms to Cuba.', 'September 8 – Newly independent Algeria, by referendum, adopts a constitution.', 'September 12 – President John F. Kennedy, at a speech at Rice University, reaffirms that the U.S. will put a man on the Moon by the end of the decade.', 'September 19 – Atlantic College opens its doors for the first time in Wales, marking the birth of the pioneering United World College educational movement.', 'September 21 – A border conflict between China and India erupts into fighting.', 'September 22 – Bob Dylan premieres his song ""A Hard Rain\'s a-Gonna Fall"", at Carnegie Hall in New York City.', 'September 25 – Sonny Liston knocks out Floyd Patterson two minutes into the first round of his fight, for the boxing world title in Chicago.', 'September 26 – The North Yemen Civil War erupts.', 'September 27 – A flash flood in Barcelona, Spain, kills more than 440 people.', 'September 29 – The Canadian Alouette 1, the first satellite built outside the United States and the Soviet Union, is launched from Vandenberg Air Force Base in California.']"
10,"['October 3 – Project Mercury: Mercury-Atlas 8 – Walter Schirra orbits the Earth six times, in the Sigma 7 space capsule.', 'October 5\nThe French National Assembly censures the proposed referendum to sanction presidential elections by popular mandate; Prime Minister Georges Pompidou resigns, but President de Gaulle asks him to stay in office.\nThe Beatles\' first single in their own right, ""Love Me Do""/""P.S. I Love You"", is released in the U.K. on EMI\'s Parlophone label. This version is recorded on September 4, at Abbey Road Studios in London, with Ringo Starr as drummer.\nDr. No, the first James Bond film, premieres at the London Pavilion, featuring Sean Connery as the hero.', 'The French National Assembly censures the proposed referendum to sanction presidential elections by popular mandate; Prime Minister Georges Pompidou resigns, but President de Gaulle asks him to stay in office.', 'The Beatles\' first single in their own right, ""Love Me Do""/""P.S. I Love You"", is released in the U.K. on EMI\'s Parlophone label. This version is recorded on September 4, at Abbey Road Studios in London, with Ringo Starr as drummer.', 'Dr. No, the first James Bond film, premieres at the London Pavilion, featuring Sean Connery as the hero.', ""October 8\nThe German magazine Der Spiegel publishes an article about the Bundeswehr's poor preparedness; the Spiegel scandal erupts.\nAlgeria is accepted into the United Nations."", ""The German magazine Der Spiegel publishes an article about the Bundeswehr's poor preparedness; the Spiegel scandal erupts."", 'Algeria is accepted into the United Nations.', 'October 9 – Uganda becomes independent within the Commonwealth of Nations.', 'October 11 – Second Vatican Council: Pope John XXIII convenes the first ecumenical council of the Roman Catholic Church in 92 years.', 'October 14 – The beginning of the Cuban Missile Crisis: A U-2 flight over Cuba in the Caribbean photographs Soviet nuclear weapons being installed. A stand-off then ensues for another 12 days, after President Kennedy is told of the pictures, between the United States and the Soviet Union, threatening the world with nuclear war.', ""October 20 – The Sino-Indian War, a border dispute involving two of the world's largest nations (India and the People's Republic of China), begins."", 'October 22 – Cuban Missile Crisis: In a televised address, U.S. President John F. Kennedy announces the presence of Soviet missiles in Cuba.', 'October 24 – Cuban Missile Crisis: The first confrontation occurs between the U.S. Navy and a Soviet cargo vessel; the vessel changes course.', 'October 26 – Spiegel scandal: German police occupy the offices of Der Spiegel in Hamburg.', 'October 27 – Cuban Missile Crisis: Vasily Arkhipov, executive officer of Soviet submarine B-59, refuses to launch nuclear torpedoes against the U.S. Navy. This event is widely regarded to be crucial in averting a worldwide nuclear war.', 'October 28\nThe end of the Cuban Missile Crisis: Soviet Union leader Nikita Khrushchev announces that he has ordered the removal of Soviet missile bases in Cuba. In a secret deal between Kennedy and Khrushchev, Kennedy agrees to the withdrawal of U.S. missiles from Turkey. The fact that this deal is not made public makes it look as though the Soviets have backed down.\nA referendum in France favors the election of the president by universal suffrage.', 'The end of the Cuban Missile Crisis: Soviet Union leader Nikita Khrushchev announces that he has ordered the removal of Soviet missile bases in Cuba. In a secret deal between Kennedy and Khrushchev, Kennedy agrees to the withdrawal of U.S. missiles from Turkey. The fact that this deal is not made public makes it look as though the Soviets have backed down.', 'A referendum in France favors the election of the president by universal suffrage.', 'October 31 – The United Nations General Assembly asks the United Kingdom to suspend enforcement of the new constitution in Southern Rhodesia (now Zimbabwe), but it comes into effect on November 1.']"
