Month No.,Month-Day(s)-Events
1,"['January 1 – The European Economic Community (EEC) comes into being.', 'January 3 – The West Indies Federation is formed.', ""January 4\nEdmund Hillary's Commonwealth Trans-Antarctic Expedition completes the third overland journey to the South Pole, the first to use powered vehicles.\nSputnik 1 (launched on October 4, 1957) falls to Earth from its orbit, and burns up."", ""Edmund Hillary's Commonwealth Trans-Antarctic Expedition completes the third overland journey to the South Pole, the first to use powered vehicles."", 'Sputnik 1 (launched on October 4, 1957) falls to Earth from its orbit, and burns up.', 'January 13 – Battle of Edchera: The Moroccan Army of Liberation ambushes a Spanish patrol.', 'January 27 – A Soviet-American executive agreement on cultural, educational and scientific exchanges, also known as the ""Lacy–Zarubin Agreement"", is signed in Washington, D.C.', 'January 31 – The first successful American satellite, Explorer 1, is launched into orbit.']"
2,"['February 1 – Egypt and Syria unite, to form the United Arab Republic.', 'February 6 – Seven Manchester United footballers are among the 21 people killed in the Munich air disaster in West Germany, on the return flight from a European Cup game in Yugoslavia. 23 people survive, but 4 of them, including manager Matt Busby and players Johnny Berry and Duncan Edwards, are in serious condition. Busby and Berry will pull through, although Berry will never play again.  Edwards dies a fortnight later.', ""February 11\nMarshal Chen Yi succeeds Zhou Enlai as Chinese Minister of Foreign Affairs.\nRuth Carol Taylor is the first African American woman hired as a flight attendant. Hired by Mohawk Airlines, her career lasts only 6 months, due to another discriminatory barrier – the airline's ban on married flight attendants."", 'Marshal Chen Yi succeeds Zhou Enlai as Chinese Minister of Foreign Affairs.', ""Ruth Carol Taylor is the first African American woman hired as a flight attendant. Hired by Mohawk Airlines, her career lasts only 6 months, due to another discriminatory barrier – the airline's ban on married flight attendants."", 'February 14 – The Hashemite Kingdoms of Iraq and Jordan unite in the Arab Federation, with King Faisal II of Iraq as head of state.', 'February 21 – A peace symbol is designed and completed by Gerald Holtom, commissioned by the Campaign for Nuclear Disarmament, in protest against the Atomic Weapons Research Establishment.', 'February 23\nCuban rebels kidnap five-time world driving champion Juan Manuel Fangio, releasing him 28 hours later.\nArturo Frondizi is elected president of Argentina.', 'Cuban rebels kidnap five-time world driving champion Juan Manuel Fangio, releasing him 28 hours later.', 'Arturo Frondizi is elected president of Argentina.', ""February 24 – In Cuba, Fidel Castro's Radio Rebelde begins broadcasting from Sierra Maestra."", 'February 17 – Bertrand Russell launches the Campaign for Nuclear Disarmament in the UK.', 'February 28 – Prestonsburg bus disaster: One of the worst school bus accidents in U.S. history occurs when a school bus hits a truck and falls into a river, resulting in 27 deaths, 26 of them schoolchildren. Twenty-two others are rescued.']"
3,"['March 1 – Turkish passenger ship Üsküdar capsizes and sinks in the Gulf of İzmit, Turkey; at least 300 die.', 'March 2 – A British Commonwealth Trans-Antarctic Expedition team, led by Sir Vivian Fuchs, completes the first overland crossing of the Antarctic, using snowcat caterpillar tractors and dogsled teams, in 99 days, via the South Pole.', 'March 8 – The USS\xa0Wisconsin is decommissioned, leaving the United States Navy without an active battleship for the first time since 1896 (she is recommissioned October 22, 1988).', 'March 11 – A U.S. B-47 bomber accidentally drops an atom bomb on Mars Bluff, South Carolina. Without a fissile warhead, its conventional explosives destroy a house and injure several people.', 'March 17 – The United States launches the Vanguard 1 satellite.', 'March 19 – The Monarch Underwear Company fire occurs in New York, United States, killing 24 people.', ""March 25 – Canada's Avro Arrow makes its maiden flight."", 'March 26\nThe United States Army launches Explorer 3.\nThe 30th Academy Awards Ceremony takes place; The Bridge on the River Kwai wins 7 awards, including Academy Award for Best Picture.', 'The United States Army launches Explorer 3.', 'The 30th Academy Awards Ceremony takes place; The Bridge on the River Kwai wins 7 awards, including Academy Award for Best Picture.', 'March 27 – Nikita Khrushchev becomes Premier of the Soviet Union.']"
4,"[""April 3 – In Cuba, Castro's revolutionary army begins its attacks on Havana."", 'April 13 – The satellite Sputnik 2 (launched November 3, 1957) disintegrates during reentry from orbit.', 'April 14 – Van Cliburn wins the International Tchaikovsky Competition for pianists in Moscow, breaking Cold War tensions.', ""April 17 – King Baudouin of Belgium officially opens the world's fair in Brussels, also known as Expo 58. The Atomium forms the centrepiece."", 'April 20 – The Montreal Canadiens win the Stanley Cup in ice hockey, after defeating the US team the Boston Bruins in 6 games.', 'April 21 – United Airlines Flight 736 is involved in a mid-air collision with a U.S. Air Force F-100F jet fighter in what is now Enterprise, Nevada; all 49 persons in both aircraft are killed.']"
5,"[""May 1\nArturo Frondizi becomes President of Argentina.\nU.S. space scientist James van Allen announces the discovery of Earth's magnetosphere.\nThe Nordic Passport Union comes into force."", 'Arturo Frondizi becomes President of Argentina.', ""U.S. space scientist James van Allen announces the discovery of Earth's magnetosphere."", 'The Nordic Passport Union comes into force.', 'May 10 – Interviewed in the Chave d\'Ouro café, when asked about his rival António de Oliveira Salazar, Humberto Delgado utters one of the most famous comments in Portuguese political history: ""Obviamente, demito-o! (Obviously, I\'ll sack him!)"".', 'May 12 – A formal North American Aerospace Defense Command agreement is signed between the United States and Canada.', ""May 13\nCrisis in France: French Algerian protesters seize government offices in Algiers, leading to a military coup.\nDuring a visit to Caracas, Venezuela, Vice President Richard Nixon's car is attacked by anti-American demonstrators."", 'Crisis in France: French Algerian protesters seize government offices in Algiers, leading to a military coup.', ""During a visit to Caracas, Venezuela, Vice President Richard Nixon's car is attacked by anti-American demonstrators."", 'May 15 – The Soviet Union launches Sputnik 3.', 'May 18 – An F-104 Starfighter sets a world speed record of 1,404.19\xa0mph (2,259.82\xa0km/h).', ""May 20 – The Cuban government of Fulgencio Batista launches a counteroffensive against Castro's rebels."", 'May 22 – U.S. President Dwight D. Eisenhower becomes the first American elected official to be broadcast on color television.', 'May 23 – Explorer 1 ceases transmission.', 'May 28 – Real Madrid beats A.C. Milan 3–2 at Heysel Stadium, Brussels and wins the 1957–58 European Cup.', 'May 30 – The bodies of unidentified United States soldiers killed in action during World War II and the Korean War are buried at the Tomb of the Unknowns, in Arlington National Cemetery.']"
6,"['June 1\nCharles de Gaulle is brought out of retirement at Colombey-les-Deux-Églises to lead France by decree for 6 months.\nIceland extends its fishing limits to 12 miles (22.2\xa0km).', 'Charles de Gaulle is brought out of retirement at Colombey-les-Deux-Églises to lead France by decree for 6 months.', 'Iceland extends its fishing limits to 12 miles (22.2\xa0km).', 'June 4 – French Prime Minister Charles de Gaulle visits Algeria.', 'June 16 – Imre Nagy and other leaders of the failed Hungarian Revolution of 1956 are hanged for treason, following secret trials.', ""June 20 – The iron barque Omega of Callao, Peru (built in Liverpool, 1887), sinks on passage carrying guano from the Pachacamac Islands for Huacho, the world's last full-rigged ship trading under sail alone."", 'June 27 – The Peronist Party becomes legal again in Argentina.', 'June 29 – Brazil beats Sweden 5–2 in the final game, to win the football World Cup in Sweden.', 'June 30 – The Ifni War ends in Spanish Sahara.']"
7,"['July 9 – 1958 Lituya Bay megatsunami: A 7.8 Mw\u202f strike-slip earthquake in Southeast Alaska causes a landslide that produces a megatsunami. The runup from the waves reaches 525\xa0m (1,722\xa0ft) on the rim of Lituya Bay.', 'July 11 – Count Michael Rhédey von Kis-Rhéde, direct descendant of Samuel Aba, King of Hungary, age 60, is pistol-whipped and murdered over a few hectares of land by Czechoslovak Communists, during the collectivization process at his residence in Olcsvar, Slovakia.', 'July 12\nThe Beatles, at this time known as The Quarrymen, pay 17 shillings and 6 pence to have their first recording session where they record Buddy Holly\'s ""That\'ll Be the Day"" and ""In Spite of All the Danger"", a song written by Paul McCartney and George Harrison.\nHenri Cornelis becomes Governor-General of the Belgian Congo, the last Belgian governor prior to independence.', 'The Beatles, at this time known as The Quarrymen, pay 17 shillings and 6 pence to have their first recording session where they record Buddy Holly\'s ""That\'ll Be the Day"" and ""In Spite of All the Danger"", a song written by Paul McCartney and George Harrison.', 'Henri Cornelis becomes Governor-General of the Belgian Congo, the last Belgian governor prior to independence.', 'July 14 – July 14 Revolution in Iraq: King Faisal is killed. Abd al-Karim Qasim assumes power.', 'July 15 – In Lebanon, 5,000 United States Marines land in the capital Beirut in support of the pro-Western government.', 'July 24 – Fourteen life peerages, the first under the Life Peerages Act 1958, are created in the United Kingdom.', 'July 26\nExplorer program: Explorer 4 is launched in the United States.\nQueen Elizabeth II of the United Kingdom announces that she is giving her son and heir apparent Prince Charles, the customary title of Prince of Wales. The announcement is made at the end of the 1958 British Empire and Commonwealth Games, held in Cardiff.', 'Explorer program: Explorer 4 is launched in the United States.', 'Queen Elizabeth II of the United Kingdom announces that she is giving her son and heir apparent Prince Charles, the customary title of Prince of Wales. The announcement is made at the end of the 1958 British Empire and Commonwealth Games, held in Cardiff.', 'July 29 – The U.S. Congress formally creates the National Aeronautics and Space Administration (NASA).', 'July 31 – The Tibetan resistance movement against rule by China receives support from the United States Central Intelligence Agency.']"
8,"['August 3 – The nuclear-powered submarine USS\xa0Nautilus becomes the first vessel to cross the North Pole under water.', 'August 6\nAustralian athlete Herb Elliott clips almost 3 seconds off the world record for the mile run at Santry Stadium, Dublin, recording a time of 3 minutes 54.5 seconds.\nThe Law of Permanent Defense of Democracy, which outlawed the Communist Party of Chile and banned 26,650 persons from the electoral lists, is repealed.', 'Australian athlete Herb Elliott clips almost 3 seconds off the world record for the mile run at Santry Stadium, Dublin, recording a time of 3 minutes 54.5 seconds.', 'The Law of Permanent Defense of Democracy, which outlawed the Communist Party of Chile and banned 26,650 persons from the electoral lists, is repealed.', 'August 14 – KLM Flight 607-E, a Lockheed L-1049 Super Constellation, crashes into the sea with 99 people aboard.', 'August 17 – The first Thor-Able rocket is launched, carrying Pioneer 0, from Cape Canaveral Air Force Station Space Launch Complex 17. The launch fails due to a first stage malfunction.', 'August 18 – Brojen Das from East Pakistan swims across the English Channel in a competition, the first Bangali as well as the first Asian to ever do it. He is first among 39 competitors.', 'August 21 – October 15 – Illinois observes the centennial of the Lincoln–Douglas debates.', ""August 23 – The Second Taiwan Strait Crisis begins, with the People's Liberation Army's bombardment of Quemoy."", 'August 26 – A general strike is called in Paraguay.', 'August 30 – September 1 – Notting Hill race riots: Riots occur between blacks and whites in Notting Hill, London.']"
9,"['September 1 – The first Cod War begins between the United Kingdom and Iceland.', ""September 2\nHendrik Verwoerd becomes the 6th Prime Minister of South Africa.\nChina's first television broadcasts start at Beijing Television Station, a predecessor of China Central Television.\u3000"", 'Hendrik Verwoerd becomes the 6th Prime Minister of South Africa.', ""China's first television broadcasts start at Beijing Television Station, a predecessor of China Central Television.\u3000"", ""September 4 – Jorge Alessandri is the winner of Chile's presidential election."", 'September 6 – Paul Robeson performs in concert at the Soviet Young Pioneer camp Artek.', 'September 12 – Jack Kilby invents the first integrated circuit, while working at Texas Instruments.', 'September 14 – Two rockets designed by German engineer Ernst Mohr (the first German post-war rockets) reach the upper atmosphere.', 'September 18 – BankAmericard, the first credit card to be widely offered, is launched in Fresno, California in what becomes known as the ""Fresno Drop"".', 'September 27\nTyphoon Ida kills at least 1,269 in Honshū, Japan.\nHurricane Helene, the worst storm of the North Atlantic hurricane season, reaches category 4 status.', 'Typhoon Ida kills at least 1,269 in Honshū, Japan.', 'Hurricane Helene, the worst storm of the North Atlantic hurricane season, reaches category 4 status.', 'September 28 – In the 1958 French constitutional referendum, a majority of 79% says yes to the constitution of the Fifth Republic.', 'September 30 – The U.S.S.R. performs a nuclear test at Novaya Zemlya.']"
10,"['October – GoldStar, as predecessor for LG Electronics, founded in South Korea.', 'October 1\nTunisia and Morocco join the Arab League.\nNASA starts operations and replaces the NACA in the United States.', 'Tunisia and Morocco join the Arab League.', 'NASA starts operations and replaces the NACA in the United States.', 'October 2 – Guinea declares itself independent from France.', 'October 4\nThe new Constitution of France is signed into law, establishing the French Fifth Republic.\nBritish Overseas Airways Corporation uses the new De Havilland Comet jets, to become the first airline to fly jet passenger services across the Atlantic.', 'The new Constitution of France is signed into law, establishing the French Fifth Republic.', 'British Overseas Airways Corporation uses the new De Havilland Comet jets, to become the first airline to fly jet passenger services across the Atlantic.', 'October 11 – Pioneer 1, the second and most successful of the 3 project Able space probes, becomes the first spacecraft launched by the newly formed NASA.', 'October 13 – Penny Coelen is crowned Miss World 1958 during the 8th Miss World Pageant, the first South African to win the title.', ""October 16 – The long-running BBC Television children's programme Blue Peter is first broadcast."", 'October 17 – An Evening with Fred Astaire, the first television show recorded on color videotape, is broadcast on NBC in the United States.', ""October 18 – Tennis for Two, a game invented by William Higinbotham and considered to be the first pure entertainment computer game, is introduced at the Brookhaven National Laboratory Visitors' Day Exhibit in the United States."", 'October 23 – The Nobel Committee announces Russian novelist Boris Pasternak as the winner of the 1958 Prize for Literature.', 'October 26 –  A Pan American World Airways Boeing 707 makes its first transatlantic flight.', 'October 28 – Pope John XXIII succeeds Pope Pius XII, as the 261st pope.']"
11,"['November 3\nThe new UNESCO building, World Heritage Centre, is inaugurated in Paris.\nJorge Alessandri  is sworn in as President of Chile.', 'The new UNESCO building, World Heritage Centre, is inaugurated in Paris.', 'Jorge Alessandri  is sworn in as President of Chile.', ""November 10 – The bossa nova is born in Rio de Janeiro, with João Gilberto's recording of Chega de Saudade."", 'November 10 – Harry Winston donates the Hope Diamond to the Smithsonian Institution.', 'November 18 – En route to Rogers City, Michigan, the Lake freighter SS\xa0Carl D. Bradley breaks up and sinks in a storm on Lake Michigan; 33 of the 35 crewmen on board perish.', 'November 20 – The Jim Henson Company is founded as Muppets, Inc. in the United States.', ""November 22 – 1958 Australian federal election: Robert Menzies' Liberal/Country Coalition Government is re-elected with a slightly increased majority, defeating the Labor Party led by H.V. Evatt. This is the first election where television was used as a medium for communicating with voters. Evatt will eventually resign as Labor leader and will be replaced by his deputy Arthur Calwell."", 'November 25 – French Sudan gains autonomy as a self-governing member of the French colonial empire.', 'November 28 – Chad, the Republic of the Congo, and Gabon become autonomous republics within the French colonial empire.', 'November 30 – Gaullists win the French parliamentary election.']"
