Month No.,Month-Day(s)-Events
1,"['January 5 – ""Prague Spring"": Alexander Dubček is chosen as leader of the Communist Party of Czechoslovakia.', ""January 10 – John Gorton is sworn in as 19th Prime Minister of Australia, taking over from John McEwen after being elected leader of the Liberal Party the previous day, following the disappearance of Harold Holt. Gorton becomes the only Senator to become Prime Minister, though he immediately transfers to the House of Representatives through the 1968 Higgins by-election in Holt's vacant seat."", 'January 15 – The 1968 Belice earthquake in Sicily kills 380 and injures around 1,000.', 'January 21\nVietnam War: Battle of Khe Sanh – One of the most publicized and controversial battles of the war begins, ending on April 8.\n1968 Thule Air Base B-52 crash: A U.S. B-52 Stratofortress crashes in Greenland, discharging 4 nuclear bombs.', 'Vietnam War: Battle of Khe Sanh – One of the most publicized and controversial battles of the war begins, ending on April 8.', '1968 Thule Air Base B-52 crash: A U.S. B-52 Stratofortress crashes in Greenland, discharging 4 nuclear bombs.', 'January 23 – North Korea seizes the USS\xa0Pueblo, claiming the ship violated its territorial waters while spying.', 'January 25 – Israeli submarine INS\xa0Dakar sinks in the Mediterranean Sea, killing 69.']"
2,"['January 28 – French submarine Minerve sinks in the Mediterranean Sea, killing 52.', 'January 30 – Vietnam War: The Tet Offensive begins as Viet Cong forces launch a series of surprise attacks across South Vietnam.', 'January 31\nViet Cong soldiers attack the Embassy of the United States, Saigon.\nNauru president Hammer DeRoburt declares independence from Australia.', 'Viet Cong soldiers attack the Embassy of the United States, Saigon.', 'Nauru president Hammer DeRoburt declares independence from Australia.', 'February 1\nVietnam War: A Viet Cong officer named Nguyễn Văn Lém is executed by Nguyễn Ngọc Loan, a South Vietnamese National Police Chief. The event is photographed by Eddie Adams. The photo makes headlines around the world, eventually winning the 1969 Pulitzer Prize, and sways U.S. public opinion against the war.\nThe Pennsylvania Railroad and the New York Central Railroad merge to form Penn Central, the largest ever corporate merger up to this date.', 'Vietnam War: A Viet Cong officer named Nguyễn Văn Lém is executed by Nguyễn Ngọc Loan, a South Vietnamese National Police Chief. The event is photographed by Eddie Adams. The photo makes headlines around the world, eventually winning the 1969 Pulitzer Prize, and sways U.S. public opinion against the war.', 'The Pennsylvania Railroad and the New York Central Railroad merge to form Penn Central, the largest ever corporate merger up to this date.', 'February 6–February 18 – The 1968 Winter Olympics are held in Grenoble, France.', 'February 12 – Vietnam War: Phong Nhị and Phong Nhất massacre.', 'February 24 – Vietnam War: The Tet Offensive is halted; South Vietnam recaptures Huế.', 'February 25 – Vietnam War: Hà My massacre.']"
3,"['March 2 – Baggeridge Colliery closes marking the end of over 300 years of coal mining in the Black Country of England.', 'March 6 – Un-recognized Rhodesia executes 3 black citizens, the first executions since UDI, prompting international condemnation.', 'March 7 – Vietnam War: The First Battle of Saigon ends.', 'March 8\nThe first student protests spark the 1968 Polish political crisis.\nThe Soviet ballistic missile submarine K-129 sinks with all 98 crew members, about 90 nautical miles (104 miles or 167\xa0km) southwest of Hawaii.', 'The first student protests spark the 1968 Polish political crisis.', 'The Soviet ballistic missile submarine K-129 sinks with all 98 crew members, about 90 nautical miles (104 miles or 167\xa0km) southwest of Hawaii.', 'March 10–11 – Vietnam War: Battle of Lima Site 85, the largest single ground combat loss of United States Air Force members (12) during the (at this time) secret war later known as the Laotian Civil War.', 'March 11 – U.S. President Lyndon B. Johnson mandates that all computers purchased by the federal government support the ASCII character encoding.', 'March 12\nMauritius achieves independence from British rule.\nU.S. President Lyndon B. Johnson barely edges out antiwar candidate Eugene McCarthy in the New Hampshire Democratic primary, a vote which highlights the deep divisions in the country, and the party, over Vietnam.', 'Mauritius achieves independence from British rule.', 'U.S. President Lyndon B. Johnson barely edges out antiwar candidate Eugene McCarthy in the New Hampshire Democratic primary, a vote which highlights the deep divisions in the country, and the party, over Vietnam.', 'March 13 – The first Rotaract club is chartered in North Charlotte, North Carolina.', 'March 14 – Nerve gas leaks from the U.S. Army Dugway Proving Ground near Skull Valley, Utah.', 'March 16\nVietnam War – My Lai Massacre: American troops kill scores of civilians. The story will first become public in November 1969 and will help undermine public support for the U.S. efforts in Vietnam.\nU.S. Senator Robert F. Kennedy enters the race for the Democratic Party presidential nomination.', 'Vietnam War – My Lai Massacre: American troops kill scores of civilians. The story will first become public in November 1969 and will help undermine public support for the U.S. efforts in Vietnam.', 'U.S. Senator Robert F. Kennedy enters the race for the Democratic Party presidential nomination.', 'March 18 – Gold standard: The United States Congress repeals the requirement for a gold reserve to back U.S. currency.', 'March 19–23 – Afrocentrism, Black Power, Vietnam War: Students at Howard University in Washington, D.C., signal a new era of militant student activism on college campuses in the U.S. Students stage rallies, protests and a 5-day sit-in, laying siege to the administration building, shutting down the university in protest over its ROTC program and the Vietnam War, and demanding a more Afrocentric curriculum.', 'March 22 – Daniel Cohn-Bendit (""Danny the Red"") and 7 other students occupy the administrative offices of the University of Nanterre, setting in motion a chain of events that lead France to the brink of revolution in May.', 'March 24 – Aer Lingus Flight 712 crashes en route from Cork to London near Tuskar Rock, Wexford, killing 61 passengers and crew.', 'March 28 – Brazilian high school student Edson Luís de Lima Souto is shot by the police in a protest for cheaper meals at a restaurant for low-income students. The aftermath of his death is one of the first major events against the military dictatorship.', 'April 2 – Bombs explode at midnight in two department stores in Frankfurt-am-Main; Andreas Baader and Gudrun Ensslin are later arrested and sentenced for arson.', 'April 4\nAssassination of Martin Luther King Jr.: Martin Luther King Jr. is shot dead at the Lorraine Motel in Memphis, Tennessee. King-assassination riots erupt in major American cities, lasting for several days afterwards.\nApollo program: Apollo-Saturn mission 502 (Apollo 6) is launched, as the second and last uncrewed test-flight of the Saturn V launch vehicle.\nAEK Athens wins the FIBA European Cup Winners Cup Final in basketball against Slavia Prague, in front of a record attendance of 80,000 spectators. It is the first major European trophy won at club level of any sport in Greece.', 'Assassination of Martin Luther King Jr.: Martin Luther King Jr. is shot dead at the Lorraine Motel in Memphis, Tennessee. King-assassination riots erupt in major American cities, lasting for several days afterwards.', 'Apollo program: Apollo-Saturn mission 502 (Apollo 6) is launched, as the second and last uncrewed test-flight of the Saturn V launch vehicle.', 'AEK Athens wins the FIBA European Cup Winners Cup Final in basketball against Slavia Prague, in front of a record attendance of 80,000 spectators. It is the first major European trophy won at club level of any sport in Greece.', 'April 6\n""La, la, la"" by Massiel (music and lyrics by Manuel de la Calva and Ramón Arcusa) wins the Eurovision Song Contest 1968 for Spain, at the Royal Albert Hall in London.\nA shootout between Black Panthers and police in Oakland, California, results in several arrests and deaths, including 17-year-old Panther Bobby Hutton.\nRichmond, Indiana explosion: A double explosion in downtown Richmond kills 41 and injures 150.', '""La, la, la"" by Massiel (music and lyrics by Manuel de la Calva and Ramón Arcusa) wins the Eurovision Song Contest 1968 for Spain, at the Royal Albert Hall in London.', 'A shootout between Black Panthers and police in Oakland, California, results in several arrests and deaths, including 17-year-old Panther Bobby Hutton.', 'Richmond, Indiana explosion: A double explosion in downtown Richmond kills 41 and injures 150.', 'April 7 – British racing driver Jim Clark is killed in a Formula 2 race at Hockenheim.', 'April 10 – The ferry TEV\xa0Wahine strikes a reef at the mouth of Wellington Harbour, New Zealand, with the loss of 53 lives, in Cyclone Giselle, which has created the windiest conditions ever recorded in New Zealand.', 'April 11\nJosef Bachmann tries to assassinate Rudi Dutschke, leader of the left-wing movement (APO) in Germany, and tries to commit suicide afterwards, failing in both, although Dutschke dies of his brain injuries 11 years later.\nGerman left-wing students blockade the Springer Press HQ in Berlin and many are arrested (one of them Ulrike Meinhof).', 'Josef Bachmann tries to assassinate Rudi Dutschke, leader of the left-wing movement (APO) in Germany, and tries to commit suicide afterwards, failing in both, although Dutschke dies of his brain injuries 11 years later.', 'German left-wing students blockade the Springer Press HQ in Berlin and many are arrested (one of them Ulrike Meinhof).', 'April 20 – Pierre Elliott Trudeau becomes the 15th Prime Minister of Canada.', ""April 23\nPresident Mobutu releases captured mercenaries in the Congo.\nSurgeons at the Hôpital de la Pitié, Paris, perform Europe's first heart transplant, on Clovis Roblain.\nThe United Methodist Church is created by the union in Dallas, Texas, of the former Methodist and Evangelical United Brethren churches."", 'President Mobutu releases captured mercenaries in the Congo.', ""Surgeons at the Hôpital de la Pitié, Paris, perform Europe's first heart transplant, on Clovis Roblain."", 'The United Methodist Church is created by the union in Dallas, Texas, of the former Methodist and Evangelical United Brethren churches.', 'April 23–30 – Vietnam War: Columbia University protests of 1968 – Student protesters at Columbia University in New York City take over administration buildings and shut down the university.', 'April 26 – The nuclear weapon ""Boxcar"" is tested at the Nevada Test Site in the biggest detonation of Operation Crosstie.']"
4,"['May 2 – The Israel Broadcasting Authority commences television broadcasts.', 'May 3 – Braniff Flight 352 crashes near Dawson, Texas, United States, killing all 85 people on board.', 'May 13 – Paris student riots: One million march through the streets of Paris.', 'May 13 – Manchester City wins the 1967–68 Football League First Division by 2 clear points, over club rivals Manchester United', 'May 16 – Ronan Point, a 23 floor tower block in Canning Town, east London, partially collapses after a gas explosion, killing 5.', 'May 17 – The Catonsville Nine enter the Selective Service offices in Catonsville, Maryland, take dozens of selective service draft records, and burn them with napalm as a protest against the Vietnam War.', ""May 18\nMattel's Hot Wheels toy cars are introduced.\nWest Bromwich Albion win the Football Association Cup, defeating Everton 1–0 after extra time. The winning goal is scored by Jeff Astle."", ""Mattel's Hot Wheels toy cars are introduced."", 'West Bromwich Albion win the Football Association Cup, defeating Everton 1–0 after extra time. The winning goal is scored by Jeff Astle.', 'May 19\nA general election is held in Italy.\nNigerian forces capture Port Harcourt and form a ring around the Biafrans. This contributes to a humanitarian disaster as the surrounded population already suffers from hunger and starvation.', 'A general election is held in Italy.', 'Nigerian forces capture Port Harcourt and form a ring around the Biafrans. This contributes to a humanitarian disaster as the surrounded population already suffers from hunger and starvation.', 'May 22 – The U.S. nuclear-powered submarine Scorpion sinks with 99 men aboard, 400 miles southwest of the Azores.', 'May 29 – Manchester United wins the European Cup Final, becoming the first English team to do so.', 'May 30 – Bobby Unser wins the Indianapolis 500.', 'June 2 – Student demonstrations in Yugoslavia start in Belgrade.', 'June 3 – Radical feminist Valerie Solanas shoots Andy Warhol at his New York City studio, The Factory; he survives after a 5-hour operation.', ""June 4 – The Standard & Poor's 500 index in the United States closes above 100 for the first time, at 100.38."", 'June 5 – Assassination of Robert F. Kennedy: U.S. presidential candidate Robert F. Kennedy is shot at the Ambassador Hotel in Los Angeles. Sirhan Sirhan is arrested.', 'June 7 – The Ford sewing machinists strike for equal pay starts at the Ford Dagenham plant in London.', 'June 10 – Italy beats Yugoslavia 2–0 in a replay to win the 1968 European Championship. The original final on June 8 ended 1–1.', ""June 12 – The horror film Rosemary's Baby premieres in the U.S."", 'June 17 – The Malayan Communist Party launches a second insurgency and the state of emergency is again imposed in Malaysia.', 'June 20 – Austin Currie, Member of the Parliament of Northern Ireland, along with others, squats in a house in Caledon to protest discrimination in housing allocations.', 'June 21 – Bloody Friday\xa0: A student demonstration in front of the Jornal do Brasil (""JB"") building ends with 28 dead and over a thousand arrested.', 'June 23\nPuerta 12 tragedy: A football stampede in Buenos Aires leaves 74 dead and 150 injured.\nThe first round of voting takes place in the French legislative elections scheduled following the public unrest of May.', 'Puerta 12 tragedy: A football stampede in Buenos Aires leaves 74 dead and 150 injured.', 'The first round of voting takes place in the French legislative elections scheduled following the public unrest of May.', 'June 26\nThe Bonin Islands are returned to Japan after 23 years of occupation by the United States Navy.\nThe ""March of the One Hundred Thousand"" takes place in Rio de Janeiro as crowds demonstrate against the Brazilian military government.', 'The Bonin Islands are returned to Japan after 23 years of occupation by the United States Navy.', 'The ""March of the One Hundred Thousand"" takes place in Rio de Janeiro as crowds demonstrate against the Brazilian military government.']"
5,"['July 1 – The Nuclear Non-Proliferation Treaty opens for signature.', ""July 4 – British yachtsman Alec Rose, 59, receives a hero's welcome as he sails into Portsmouth, after his 354-day round-the-world trip."", ""July 17 – Saddam Hussein becomes Vice Chairman of the Revolutionary Council in Iraq after a coup d'état."", 'July 18 – The semiconductor company Intel is founded.', 'July 20 – The first International Special Olympics Summer Games are held at Soldier Field in Chicago, Ill, with about 1,000 athletes with intellectual disabilities.', 'July 23–28 – Black militants led by Fred (Ahmed) Evans engage in a fierce gunfight with police in the Glenville Shootout of Cleveland, Ohio, in the United States.', 'July 25 – Pope Paul VI publishes the encyclical entitled Humanae vitae, on birth control.', 'July 26 – Vietnam War: South Vietnamese opposition leader Trương Đình Dzu is sentenced to 5 years hard labor, for advocating the formation of a coalition government as a way to move toward an end to the war.', 'July 29 – Arenal Volcano erupts in Costa Rica for the first time in centuries.', 'August 1 – The Municipal University of São Caetano do Sul is established in São Caetano do Sul, São Paulo.', 'August 2 – The magnitude (Mw) 7.6 Casiguran earthquake affects the Aurora province in the Philippines with a maximum Mercalli intensity of IX (Violent), killing at least 207 and injuring 261.', 'August 5–8 – The Republican National Convention in Miami Beach, Florida nominates Richard Nixon for U.S. president and Spiro Agnew for vice president.', 'August 11 – The last steam passenger train service runs in Britain. A selection of British Railways steam locomotives make the 120-mile journey from Liverpool to Carlisle and return to Liverpool – the journey is known as the Fifteen Guinea Special.', 'August 18 – Two charter buses are forced into the Hida River on National Highway Route 41 in Japan in an accident caused by heavy rain; 104 are killed.', ""August 20–21 – Warsaw Pact invasion of Czechoslovakia: The 'Prague Spring' of political liberalization ends, as 750,000 Warsaw Pact troops and 6,500 tanks with 800 aircraft invade Czechoslovakia, the largest military operation in Europe since the end of World War II."", 'August 24 – Canopus (nuclear test): France explodes its first hydrogen bomb in a test at Fangataufa atoll in French Polynesia.', 'August 22–30 – Police clash with anti-war protesters in Chicago outside the 1968 Democratic National Convention, which nominates Hubert Humphrey for U.S. president and Edmund Muskie for vice president. The riots and subsequent trials are an essential part of the activism of the Youth International Party.', 'August 29 – Crown Prince Harald of Norway marries Sonja Haraldsen, the commoner he has dated for 9 years.']"
6,"['September 6 – Swaziland (now eSwatini) becomes independent.', 'September 7\nThe crash of Air France Flight 1611 kills 95 people, including French Army General René Cogny, as the Caravelle jetliner plunges into the Mediterranean Sea while making its approach to Nice following its departure from the island of Corsica.', 'The crash of Air France Flight 1611 kills 95 people, including French Army General René Cogny, as the Caravelle jetliner plunges into the Mediterranean Sea while making its approach to Nice following its departure from the island of Corsica.', 'The International Association of Classification Societies (IACS) is founded.', 'September 13\nAlbania officially withdraws from the Warsaw Pact upon the Soviet Union-led Warsaw Pact invasion of Czechoslovakia, having already ceased to participate actively in Pact activity since 1962.', 'Albania officially withdraws from the Warsaw Pact upon the Soviet Union-led Warsaw Pact invasion of Czechoslovakia, having already ceased to participate actively in Pact activity since 1962.', ""September 17 – The D'Oliveira affair: The Marylebone Cricket Club tour of South Africa is cancelled when the South Africans refuse to accept the presence of Basil D'Oliveira, a Cape Coloured, in the side."", ""September 21 – The Soviet's Zond 5 uncrewed lunar flyby mission returns to earth, with its first-of-a-kind biological payload intact."", 'September 23 – Vietnam War: The Tet Offensive comes to an end in South Vietnam.', 'September 27 – Marcelo Caetano becomes prime minister of Portugal.', 'September 29 – A referendum in Greece gives more power to the military junta.', 'October 2 – Tlatelolco massacre: A student demonstration ends in bloodbath at La Plaza de las Tres Culturas in Tlatelolco, Mexico City, Mexico, 10 days before the inauguration of the 1968 Summer Olympics. 300-400 are estimated to have been killed.', 'October 3 – In Peru, Juan Velasco Alvarado takes power in a revolution.', 'October 8 – Vietnam War – Operation Sealords: United States and South Vietnamese forces launch a new operation in the Mekong Delta.', ""October 11\nApollo program: NASA launches Apollo 7, the first crewed Apollo mission (Wally Schirra, Donn Eisele, Walter Cunningham). Mission goals include the first live television broadcast from orbit and simulating lunar module rendezvous and docking, using the S-IVB rocket stage as a test target.\nIn Panama, a military coup d'état, led by Col. Boris Martinez and Col. Omar Torrijos, overthrows the democratically elected (but highly controversial) government of President Arnulfo Arias. Within a year, Torrijos ousts Martinez and takes charge as de facto Head of Government in Panama."", 'Apollo program: NASA launches Apollo 7, the first crewed Apollo mission (Wally Schirra, Donn Eisele, Walter Cunningham). Mission goals include the first live television broadcast from orbit and simulating lunar module rendezvous and docking, using the S-IVB rocket stage as a test target.', ""In Panama, a military coup d'état, led by Col. Boris Martinez and Col. Omar Torrijos, overthrows the democratically elected (but highly controversial) government of President Arnulfo Arias. Within a year, Torrijos ousts Martinez and takes charge as de facto Head of Government in Panama."", 'October 12–27 – The Games of the XIX Olympiad are held in Mexico City, Mexico.', 'October 12 – Equatorial Guinea receives its independence from Spain.', 'October 14\nVietnam War: The United States Department of Defense announces that the United States Army and United States Marines will send about 24,000 troops back to Vietnam for involuntary second tours.', 'Vietnam War: The United States Department of Defense announces that the United States Army and United States Marines will send about 24,000 troops back to Vietnam for involuntary second tours.', ""October 16\nIn Mexico City, African-American athletes Tommie Smith and John Carlos raise their fists in a black power salute after winning, respectively, the gold and bronze medals in the Olympic men's 200 metres.\nKingston, Jamaica is rocked by the Rodney Riots, provoked by the banning of Walter Rodney from the country."", ""In Mexico City, African-American athletes Tommie Smith and John Carlos raise their fists in a black power salute after winning, respectively, the gold and bronze medals in the Olympic men's 200 metres."", 'Kingston, Jamaica is rocked by the Rodney Riots, provoked by the banning of Walter Rodney from the country.', 'October 18 – US athlete Bob Beamon breaks the long jump world record by 55\xa0cm / 213⁄4\xa0ins at the Olympics in Mexico City. His record stands for 23 years, and is still the second longest jump in history.', 'October 25 – Led Zeppelin make their first live performance, at Surrey University in England', 'October 31 – Vietnam War: Citing progress in the Paris peace talks, U.S. President Lyndon B. Johnson announces to the nation that he has ordered a complete cessation of ""all air, naval, and artillery bombardment of North Vietnam"" effective November 1.']"
7,"['November 5\n1968 United States presidential election: Republican candidate Richard Nixon defeats the Democratic candidate, Vice President Hubert Humphrey, and American Independent Party candidate George Wallace.\nLuis A. Ferré, of the newly formed New Progressive Party is elected Governor of Puerto Rico, by beating incumbent governor Roberto Sánchez Vilella of the People\'s Party, Luis Negrón López of the Popular Democratic Party and Antonio J. Gonzalez of the Puerto Rican Independence Party, he also becomes the first ""statehooder"" governor of the Island.', '1968 United States presidential election: Republican candidate Richard Nixon defeats the Democratic candidate, Vice President Hubert Humphrey, and American Independent Party candidate George Wallace.', 'Luis A. Ferré, of the newly formed New Progressive Party is elected Governor of Puerto Rico, by beating incumbent governor Roberto Sánchez Vilella of the People\'s Party, Luis Negrón López of the Popular Democratic Party and Antonio J. Gonzalez of the Puerto Rican Independence Party, he also becomes the first ""statehooder"" governor of the Island.', 'November 11 – A second republic is declared in the Maldives.', 'November 15 – Vietnam War: Operation Commando Hunt is initiated to interdict men and supplies on the Ho Chi Minh trail, through Laos into South Vietnam. By the end of the operation, 3\xa0million tons of bombs are dropped on Laos, slowing but not seriously disrupting trail operations.', 'November 17\nBritish European Airways introduces the BAC One-Eleven into commercial service.\nThe Heidi Game: NBC cuts off the final 1:05 of an Oakland Raiders–New York Jets football game to broadcast the pre-scheduled Heidi. Fans are unable to see Oakland (which had been trailing 32–29) score 2 late touchdowns to win 43–32; as a result, thousands of outraged football fans flood the NBC switchboards to protest.', 'British European Airways introduces the BAC One-Eleven into commercial service.', 'The Heidi Game: NBC cuts off the final 1:05 of an Oakland Raiders–New York Jets football game to broadcast the pre-scheduled Heidi. Fans are unable to see Oakland (which had been trailing 32–29) score 2 late touchdowns to win 43–32; as a result, thousands of outraged football fans flood the NBC switchboards to protest.', ""November 19 – In Mali, President Modibo Keïta's regime is overthrown in a bloodless military coup led by Moussa Traoré."", 'November 20 – The Farmington Mine disaster in Farmington, West Virginia, kills seventy-eight men.', 'November 24 – 4 men hijack Pan Am Flight 281 from JFK International Airport, New York to Havana, Cuba.', 'December 9 – Douglas Engelbart publicly demonstrates his pioneering hypertext system, NLS, in San Francisco, together with the computer mouse, at what becomes retrospectively known as ""The Mother of All Demos"".', 'December 10 – Japan\'s biggest heist, the never-solved ""300 million yen robbery"", occurs in Tokyo.', 'December 11\nThe film Oliver! based on the hit London and Broadway musical, opens in the U.S. after being released first in the UK. It goes on to win the Academy Award for Best Picture.', 'The film Oliver! based on the hit London and Broadway musical, opens in the U.S. after being released first in the UK. It goes on to win the Academy Award for Best Picture.']"
8,"['December 13 – Prompted by growing unrest and a perceived proliferation of ""pro-communist"" violent actions, Brazilian president Artur da Costa e Silva enacts the so-called AI-5, the fifth of a series of non-constitutional emergency decrees allegedly to help ""stabilize"" the country after the turmoils of the early 1960s.', 'December 22 – Mao Zedong advocates that educated urban youth in China be sent for re-education in the countryside. It marks the start of the ""Up to the mountains and down to the villages"" movement.', 'December 24 – Apollo program: The crewed U.S. spacecraft Apollo 8 enters orbit around the Moon. Astronauts Frank Borman, Jim Lovell and William Anders become the first humans to see the far side of the Moon and planet Earth as a whole, as well as having traveled further away from Earth than any people in history. Anders photographs Earthrise. The crew also give a reading from the Book of Genesis.', 'December 28 – Israeli forces fly into Lebanese airspace, launching an attack on the airport in Beirut and destroying more than a dozen aircraft.']"
9,"[""The Khmer Rouge is officially formed in Cambodia as an offshoot movement of the Vietnam People's Army from North Vietnam to bring communism to the nation. A few years later, they will become bitter enemies."", 'La Maestra, a Latin American play is written by Enrique Buenaventura.', 'An oil field is confirmed in Northern Alaska: the Prudhoe Bay Oil Field.', 'Midea Group, a well-known home appliance worldwide, founded in Guangdong Province, China.']"
10,"['January 1 – Davor Šuker, Croatian footballer', 'January 2\nViolet Berlin, British presenter and script writer\nCuba Gooding Jr., African-American actor', 'Violet Berlin, British presenter and script writer', 'Cuba Gooding Jr., African-American actor', 'January 3 – Matheus Nachtergaele, Brazilian actor and director', 'January 5\nDJ BoBo, Swiss singer, songwriter and dancer\nAndrzej Gołota, Polish boxer\nCarrie Ann Inaba, American choreographer, game show host and singer', 'DJ BoBo, Swiss singer, songwriter and dancer', 'Andrzej Gołota, Polish boxer', 'Carrie Ann Inaba, American choreographer, game show host and singer', 'January 6\nBlanca Eekhout, Venezuelan politician\nJohn Singleton, African-American film director and writer (d. 2019)', 'Blanca Eekhout, Venezuelan politician', 'John Singleton, African-American film director and writer (d. 2019)', 'January 8 – James Brokenshire, British politician (d. 2021)', 'January 11 – Benjamin List, German organic chemist, recipient of Nobel Prize in Chemistry', 'January 12 – Rachael Harris, American actress and comedian', 'January 13 – Pat Onstad, Canadian footballer', 'January 14 – LL Cool J, African-American rapper and actor', 'January 15 – Chad Lowe, American actor and director', 'January 16\nStephan Pastis, American cartoonist\nAtticus Ross, English musician, songwriter, record producer and audio engineer', 'Stephan Pastis, American cartoonist', 'Atticus Ross, English musician, songwriter, record producer and audio engineer', 'January 17 – Svetlana Masterkova, Russian athlete', 'January 21 – Charlotte Ross, American actress', 'January 22 – Guy Fieri, American chef', 'January 24\nMichael Kiske, German musician\nMary Lou Retton, American gymnast', 'Michael Kiske, German musician', 'Mary Lou Retton, American gymnast', 'January 26\nEric Davis, American football player\nNovala Takemoto, Japanese author and fashion designer', 'Eric Davis, American football player', 'Novala Takemoto, Japanese author and fashion designer', 'January 27 – Mike Patton, American singer', 'January 28 – Sarah McLachlan, Canadian singer', 'January 29 – Edward Burns, American actor', 'January 30 – King Felipe VI of Spain']"
