Month No.,Month-Day(s)-Events
1,"['January 2\nThe Association football club Cruzeiro Esporte Clube, from Belo Horizonte, is founded as the multi-sports club Palestra Italia by Italian expatriates in Brazil.\nThe Spanish liner Santa Isabel breaks in two and sinks off Villa Garcia, Mexico, with the loss of 244 of the 300 people on board.', 'The Association football club Cruzeiro Esporte Clube, from Belo Horizonte, is founded as the multi-sports club Palestra Italia by Italian expatriates in Brazil.', 'The Spanish liner Santa Isabel breaks in two and sinks off Villa Garcia, Mexico, with the loss of 244 of the 300 people on board.', 'January 16 – The Marxist Left in Slovakia and the Transcarpathian Ukraine holds its founding congress in Ľubochňa.', 'January 17 – The first recorded public performance of the illusion of ""sawing a woman in half"" is given by English stage magician P. T. Selbit at the Finsbury Park Empire variety theatre in London.', 'January 20 – British K-class submarine HMS K5 sinks in the English Channel; all 57 on board are lost.', 'January 21 – The full-length silent comedy drama film The Kid, written, produced, directed by and starring Charlie Chaplin (in his Tramp character), with Jackie Coogan, is released in the United States.', 'January 25 – Italian battleship Leonardo da Vinci is righted in Taranto Harbour.']"
2,"['February 12 – Red Army invasion of Georgia: The Democratic Republic of Georgia is invaded by forces of Bolshevist Russia.', 'February 19 – The French Third Republic and Second Polish Republic form a defensive alliance.', 'February 20 – The Young Communist League of Czechoslovakia is founded.', ""February 21\n1921 Persian coup d'état: Rezā Khan and Zia'eddin Tabatabaee stage a coup d'état in Qajar dynasty Iran.\nConference of London of 1921–1922 convenes in an attempt to resolve problems arising from the dissolution of the Ottoman Empire."", ""1921 Persian coup d'état: Rezā Khan and Zia'eddin Tabatabaee stage a coup d'état in Qajar dynasty Iran."", 'Conference of London of 1921–1922 convenes in an attempt to resolve problems arising from the dissolution of the Ottoman Empire.', 'February 23 – The moderately conservative public official Oscar von Sydow takes over the Swedish premiership from Baron Louis De Geer the Younger.', 'February 25 – Red Army invasion of Georgia: The Red Army enters the Georgian capital Tbilisi and occupies the country, installing a new government and proclaiming the Georgian Soviet Republic.', 'February 27 – A Socialist congress at Vienna ends with the International Working Union of Socialist Parties founded.', ""February 28 – The Kronstadt rebellion is initiated by sailors of the Soviet Navy's Baltic Fleet.""]"
3,"['March – The Group Settlement Scheme in Western Australia begins.', 'March 1\nThe city of Kiryū, located in Gunma Prefecture, Japan, is founded.\nThe Australia national cricket team, led by Warwick Armstrong, becomes the first to complete a whitewash of the touring England team in The Ashes, something that will not be repeated for 86 years.', 'The city of Kiryū, located in Gunma Prefecture, Japan, is founded.', 'The Australia national cricket team, led by Warwick Armstrong, becomes the first to complete a whitewash of the touring England team in The Ashes, something that will not be repeated for 86 years.', 'March 4 – Inauguration of Warren G. Harding as 29th President of the United States.', 'March 5 – Irish War of Independence: Clonbanin ambush: A force of about 100 Irish Republican Army members attacks a British Army convoy of 40 soldiers, killing several, including Brigadier General Cumming.', 'March 8\nSpanish Premier Eduardo Dato e Iradier is assassinated while exiting the parliament building in Madrid.\nAllied forces occupy Düsseldorf, Ruhrort and Duisburg.', 'Spanish Premier Eduardo Dato e Iradier is assassinated while exiting the parliament building in Madrid.', 'Allied forces occupy Düsseldorf, Ruhrort and Duisburg.', 'March 9 – Cilicia Peace Treaty is signed between the French Third Republic and the Turkish National Movement in an attempt to end the Franco-Turkish War.', 'March 12 – The İstiklâl Marşı (Independence March), the Turkish national anthem, is officially adopted.', 'March 13 – Occupation of Mongolia: The Russian White Army captures Mongolia from China; Roman von Ungern-Sternberg declares himself ruler.', 'March 14 – Armenian Soghomon Tehlirian assassinates Mehmed Talaat, former Interior Minister of the Ottoman Empire, in Charlottenburg, Berlin.', 'March 16\nTreaty of Moscow establishes friendly relations between the Government of the Grand National Assembly of Turkey and the Russian Socialist Federative Soviet Republic.\nSix Irish Republican Army men of the Forgotten Ten are hanged in Mountjoy Prison, Dublin.', 'Treaty of Moscow establishes friendly relations between the Government of the Grand National Assembly of Turkey and the Russian Socialist Federative Soviet Republic.', 'Six Irish Republican Army men of the Forgotten Ten are hanged in Mountjoy Prison, Dublin.', 'March 17\nThe Red Army crushes the Kronstadt rebellion, and a number of sailors flee to Finland.\nDr. Marie Stopes opens the first birth control clinic in the British Empire in London, UK.\nThe Second Polish Republic adopts the March Constitution.', 'The Red Army crushes the Kronstadt rebellion, and a number of sailors flee to Finland.', 'Dr. Marie Stopes opens the first birth control clinic in the British Empire in London, UK.', 'The Second Polish Republic adopts the March Constitution.', 'March 18 – The second Peace of Riga ends the Polish–Soviet War. A permanent border is established between the Polish and Soviet states.', 'March 20 – Upper Silesia votes for re-annexation to Germany.', 'March 21\nThe New Economic Policy starts in Soviet Russia.\nIrish War of Independence: Headford Ambush – The Irish Republican Army kills at least 9 British Army troops.', 'The New Economic Policy starts in Soviet Russia.', 'Irish War of Independence: Headford Ambush – The Irish Republican Army kills at least 9 British Army troops.', ""March 24 – The 1921 Women's Olympiad (the first international women's sports event) begins in Monte Carlo."", ""March 31\nAbkhazia becomes the Socialist Soviet Republic of Abkhazia.\nThe British government formally returns the coal mines from wartime control to their private owners, who demand wage cuts; in response, the Miners' Federation of Great Britain calls on its partner trade unions in the Triple Alliance to join it in strike action, leading in turn to the government declaring a state of emergency for the first time under the Emergency Powers Act 1920. On April 1, a lockout of striking coal miners begins."", 'Abkhazia becomes the Socialist Soviet Republic of Abkhazia.', ""The British government formally returns the coal mines from wartime control to their private owners, who demand wage cuts; in response, the Miners' Federation of Great Britain calls on its partner trade unions in the Triple Alliance to join it in strike action, leading in turn to the government declaring a state of emergency for the first time under the Emergency Powers Act 1920. On April 1, a lockout of striking coal miners begins.""]"
4,"['April 11 – The Emirate of Transjordan is created under British Mandate, with Abdullah I as emir.', 'April 15 – ""Black Friday"" in Britain: transport union members of the \'Triple Alliance\' refuse to support national strike action by coal miners.', ""April 20 – Ferenc Molnár's play Liliom is first produced in English on Broadway. The play would later be adapted as the musical Carousel.""]"
5,"['May 1–7 – Jaffa riots: Riots at Jaffa, Mandatory Palestine result in 47 Jewish and 48 Arab deaths.', 'May 2–July 5 – Third Silesian Uprising: Poles in Upper Silesia rise against the Germans.', 'May 3 – The province of Northern Ireland is created within the United Kingdom.', ""May 5\nLondon Schedule of Payments sets out the World War I reparations payable by the German Weimar Republic and other countries considered successors to the Central Powers – 132\xa0billion gold marks ($33\xa0trillion), in annual installments of 2.5\xa0billion.\nChanel No. 5 perfume launched by Coco Chanel.\nOnly 13 paying spectators attend the football match between Leicester City and Stockport County F.C. in England, the lowest attendance in The Football League's history."", 'London Schedule of Payments sets out the World War I reparations payable by the German Weimar Republic and other countries considered successors to the Central Powers – 132\xa0billion gold marks ($33\xa0trillion), in annual installments of 2.5\xa0billion.', 'Chanel No. 5 perfume launched by Coco Chanel.', ""Only 13 paying spectators attend the football match between Leicester City and Stockport County F.C. in England, the lowest attendance in The Football League's history."", 'May 6 – The German-Soviet Provisional Agreement is signed: Germany recognises the Soviet government in the RSFSR.', 'May 14–15 – The major May 1921 geomagnetic storm occurs.', 'May 14–17 – Violent anti-European riots occur in Cairo and Alexandria, Egypt.', 'May 16 – The Communist Party of Czechoslovakia is founded.', 'May 19 – The Emergency Quota Act is passed by the United States Congress, establishing national quotas on immigration. Because this drastically limits immigration from Eastern Europe, Jews emigrating from there begin to prefer Palestine as a destination rather than the U.S.', 'May 22 – In the first golf international between the two countries, the United States beats the United Kingdom 9 rounds to 3.', 'May 23–July 16 – The Leipzig War Crimes Trials are held in Germany.', 'May 24 – 1921 Irish elections: In the first Northern Ireland general election for the new Parliament of Northern Ireland, Ulster Unionists win 40 out of 52 seats. The dominant-party system here will last for fifty years.', 'May 25 – Irish War of Independence: The Irish Republican Army occupies and burns The Custom House in Dublin, the centre of local government in Ireland. Five IRA men are killed, and over 80 are captured by the British Army which surrounds the building.', 'May 26 – A general strike begins in Norway.', 'May 31–June 1 – Tulsa Race Massacre (Greenwood Massacre): Mobs of white residents attack black residents and businesses in Greenwood District, Tulsa, Oklahoma. The official death toll is 36, but later investigations suggest an actual figure between 100 and 300. 1,250 homes are destroyed and roughly 6,000 African Americans imprisoned in one of the worst incidents of mass racial violence in the United States.']"
6,"['June 3 – The death penalty is abolished in Sweden.', 'June 10 – Paris declaration: Representatives of the three states of Transcaucasia and the North Caucasus (the Armenian, Azerbaijani and Georgian Socialist Soviet Republics) proclaim their independence, establishing a customs union and military alliance, not internationally recognized.', ""June 15\nCompagnie Générale Transatlantique's liner SS\xa0Paris\xa0(1916) makes her maiden voyage from Le Havre to New York.\n29-year-old African American Bessie Coleman obtains her pilot's licence in France and becomes the first black woman to have a pilot's licence."", ""Compagnie Générale Transatlantique's liner SS\xa0Paris\xa0(1916) makes her maiden voyage from Le Havre to New York."", ""29-year-old African American Bessie Coleman obtains her pilot's licence in France and becomes the first black woman to have a pilot's licence."", 'June 21 – The International Hydrographic Bureau (IHB) is established as an agency of the League of Nations; it continues in this form until April 19, 1946.', 'June 22–July 12 – The Third Congress of the Communist International takes place.', 'June 27 – The first signings of Treaty 11, an agreement between George V, King of Canada, and various Canadian First Nations, are conducted at Fort Providence.', ""June 28\nThe Constitutional Assembly of the Kingdom of Serbs, Croats and Slovenes passes the Vidovdan Constitution, despite a boycott of the vote by the communists, and Croat and Slovene parties.\nThe coal strike in the United Kingdom ends with the Miners' Federation of Great Britain obliged to accept pay cuts."", 'The Constitutional Assembly of the Kingdom of Serbs, Croats and Slovenes passes the Vidovdan Constitution, despite a boycott of the vote by the communists, and Croat and Slovene parties.', ""The coal strike in the United Kingdom ends with the Miners' Federation of Great Britain obliged to accept pay cuts.""]"
7,"['July 1\nThe Chinese Communist Party (CCP) is founded.\nThe first BCG vaccination against tuberculosis is given, in Paris, France; the recipient is a newborn child.', 'The Chinese Communist Party (CCP) is founded.', 'The first BCG vaccination against tuberculosis is given, in Paris, France; the recipient is a newborn child.', ""July 2 – U.S. President Warren Harding signs a joint congressional resolution, declaring an end to America's state of war with Germany, Austria and Hungary."", 'July 4 – A new conservative government is formed in Italy by Ivanoe Bonomi.', ""July 11\nThe Irish War of Independence ends under the terms of the truce (signed on 9 July) which becomes effective at noon between the British Army and the Irish Republican Army.\nThe Red Army captures Mongolia from the White Army and establishes the Mongolian People's Republic."", 'The Irish War of Independence ends under the terms of the truce (signed on 9 July) which becomes effective at noon between the British Army and the Irish Republican Army.', ""The Red Army captures Mongolia from the White Army and establishes the Mongolian People's Republic."", 'July 14 – A Massachusetts jury finds Nicola Sacco and Bartolomeo Vanzetti guilty of first degree murder following a widely publicized trial whose verdict will spark protests around the world.', 'July 17 – The Republic of Mirdita is proclaimed near the Albanian-Serbian border, with Yugoslav support.', 'July 21\nRif War: Battle of Annual – Spanish troops are dealt a crushing defeat at the hands of Abd el-Krim in Morocco.\nEdward Harper, the ""father of broadcasting"" in Ceylon, arrives in Colombo to take up his post as Chief Engineer of the Ceylon Telegraph Department.', 'Rif War: Battle of Annual – Spanish troops are dealt a crushing defeat at the hands of Abd el-Krim in Morocco.', 'Edward Harper, the ""father of broadcasting"" in Ceylon, arrives in Colombo to take up his post as Chief Engineer of the Ceylon Telegraph Department.', 'July 23 – 1st National Congress of the Chinese Communist Party opens in Shanghai.', 'July 26 – U.S. President Warren G. Harding receives Princess Fatima of Afghanistan who is escorted by imposter Stanley Clifford Weyman.', 'July 27 – Researchers at the University of Toronto, led by biochemist Frederick Banting, announce the discovery of the hormone insulin.', 'July 29 – Adolf Hitler becomes Führer of the Nazi Party in Germany.']"
8,"['August 5 – The first radio baseball game is broadcast: Harold Arlin announces the Pirates-Phillies game from Forbes Field over Westinghouse KDKA in Pittsburgh.', ""August 11\nFranklin D. Roosevelt's paralytic illness strikes while he is vacationing; on August 25 he is diagnosed with polio and aged 39 becomes permanently disabled.\nThe temperature reaches 39 degrees Celsius in Breslau; the heat wave continues elsewhere in Europe as well."", ""Franklin D. Roosevelt's paralytic illness strikes while he is vacationing; on August 25 he is diagnosed with polio and aged 39 becomes permanently disabled."", 'The temperature reaches 39 degrees Celsius in Breslau; the heat wave continues elsewhere in Europe as well.', 'August 23 – King Faisal I of Iraq is crowned in Baghdad.', 'August 24 – R38-class airship ZR-2 explodes on her fourth test flight near Kingston upon Hull, England, killing 44 of the 49 Anglo-American crew on board.', ""August 25 –  The Battle of Blair Mountain, the largest labor uprising in United States history and the country's largest peacetime armed uprising, begins in Logan County, West Virginia as part of the Coal Wars, continuing until September 2."", 'August 26\nRising prices cause major riots in Munich.\nFollowing the assassination of former Finance Minister Matthias Erzberger by right-wing terrorists, the German government declares martial law.', 'Rising prices cause major riots in Munich.', 'Following the assassination of former Finance Minister Matthias Erzberger by right-wing terrorists, the German government declares martial law.']"
9,"['September 1 – Poplar Rates Rebellion: Nine members of the borough council of Poplar, London, are arrested.', 'September 8 – Margaret Gorman, 16, wins the Golden Mermaid trophy at a beauty pageant in Atlantic City, New Jersey; officials later dub her the first Miss America.', ""September 13 – White Castle hamburger restaurant opens in Wichita, Kansas, foundation of the world's first fast food chain."", ""September 21 – The Oppau explosion occurs at BASF's nitrate factory in Oppau, Germany; 500–600 are killed."", 'September 28 – Sauerländer Heimatbund is founded in Meschede, Germany.']"
10,"['October 5 – The World Series baseball game in North America is first broadcast on the radio, by Newark, New Jersey, station WJZ, Pittsburgh station KDKA, and a group of other commercial and amateur stations throughout the eastern United States.', 'October 8 – The first Sweetest Day is staged in Cleveland, Ohio.', 'October 10 – Teaching at the University of Szeged begins, in the Kingdom of Hungary.', 'October 11 – The Irish Treaty Conference opens in London.', 'October 13\nThe Treaty of Kars is signed between the Government of the Grand National Assembly of Turkey and the Armenian, Azerbaijani and Georgian Socialist Soviet Republics in Transcaucasia, establishing common boundaries.\nSwedish Social Democratic party leader Hjalmar Branting becomes yet again Prime Minister, after strong general election gains for his party.', 'The Treaty of Kars is signed between the Government of the Grand National Assembly of Turkey and the Armenian, Azerbaijani and Georgian Socialist Soviet Republics in Transcaucasia, establishing common boundaries.', 'Swedish Social Democratic party leader Hjalmar Branting becomes yet again Prime Minister, after strong general election gains for his party.', ""October 19 – 'Bloody Night' (Noite Sangrenta): A massacre in Lisbon claims the lives of Portuguese Prime-Minister António Granjo and other politicians."", 'October 20 – Treaty of Ankara signed between the French Third Republic and the Government of the Grand National Assembly of Turkey, ending the Franco-Turkish War.', ""October 21 – George Melford's wildly successful silent film The Sheik, which will propel its leading actor Rudolph Valentino to international stardom, premieres in Los Angeles."", 'October 24 – In the continuing Rif War, the Spanish Army defeats rifkabyl rebels in Morocco.', 'October 29 – In the United States:\nConstruction of the Link River Dam, a part of the Klamath Project in Oregon, is completed.\nCentre College\'s American football team, led by quarterback Bo McMillin, defeats Harvard University 6–0, to break Harvard\'s five-year winning streak. For decades afterward, this is called ""football\'s upset of the century.""', 'Construction of the Link River Dam, a part of the Klamath Project in Oregon, is completed.', 'Centre College\'s American football team, led by quarterback Bo McMillin, defeats Harvard University 6–0, to break Harvard\'s five-year winning streak. For decades afterward, this is called ""football\'s upset of the century.""']"
11,"['November 4 – After a speech by Adolf Hitler in the Hofbräuhaus in Munich (Germany), members of the Sturmabteilung (""brownshirts"") physically assault his opposition.', 'November 9 – The National Fascist Party (Partito Nazionale Fascista or PNF) is founded in Italy.', 'November 11 – During an Armistice Day ceremony at Arlington National Cemetery, the Tomb of the Unknowns is dedicated by Warren G. Harding, President of the United States.', 'November 14 – The Spanish Communist Party is founded.', 'November 23 – In the United States, the Sheppard–Towner Act is signed by President Harding, providing federal funding for maternity and child care.', 'November – Hyperinflation is rampant in Germany, where 263 marks are now needed to buy a single American dollar, more than 20 times greater than the 12 marks needed in April 1919.']"
12,"['December 1 – Rising prices cause riots in Vienna.', ""December 6\nThe Anglo-Irish Treaty establishing the Irish Free State, an independent nation incorporating 26 of Ireland's 32 counties, is signed in London.\nAgnes Macphail becomes the first woman to be elected to the Canadian Parliament."", ""The Anglo-Irish Treaty establishing the Irish Free State, an independent nation incorporating 26 of Ireland's 32 counties, is signed in London."", 'Agnes Macphail becomes the first woman to be elected to the Canadian Parliament.', 'December 13 – In the Four-Power Treaty on Insular Possessions, the Empire of Japan, United States, United Kingdom, and French Third Republic agree to recognize the status quo in the Pacific.', 'December 23 – Visva-Bharati College is founded by Rabindranath Tagore in Santiniketan, Bengal Presidency, British India.', ""December 29 – William Lyon Mackenzie King becomes Canada's tenth prime minister; he will serve for three non-consecutive terms until 1948.""]"
13,"['Spring – Russian famine of 1921–22 begins; roughly 5,000,000 die.', 'Luxury goods brand Gucci is founded in Florence, Italy.']"
