Month No.,Month-Day(s)-Events
1,"['January 1 – Greece becomes the 12th country to join the Eurozone.', 'January 9 – Apple Inc. launches iTunes, a software program that acts as a media player, media library, and the client app for the iTunes Store.', 'January 11 – The merger of AOL and Time Warner, the largest business merger in history at that time, takes effect.', 'January 13 – A 7.6-magnitude earthquake hits El Salvador, killing at least 944 people and causing massive landslides, which leaves thousands of those affected homeless.', 'January 15 – Wikipedia is launched.', 'January 16 – Assassination of Laurent-Désiré Kabila: The President of the Democratic Republic of the Congo is shot in his office during the Second Congo War and rushed to Harare in Zimbabwe for medical treatment; his death will be announced two days later. His son Joseph Kabila will be sworn in as his replacement the following week.', 'January 20\nGeorge W. Bush, a former governor of Texas, is sworn in as the 43rd president of the United States.\nImpeachment proceedings against Philippine President Joseph Estrada end prematurely as he is peacefully overthrown in the Second EDSA Revolution. Vice President Gloria Macapagal Arroyo succeeds him as president.', 'George W. Bush, a former governor of Texas, is sworn in as the 43rd president of the United States.', 'Impeachment proceedings against Philippine President Joseph Estrada end prematurely as he is peacefully overthrown in the Second EDSA Revolution. Vice President Gloria Macapagal Arroyo succeeds him as president.', 'January 21 – Taba Summit: Talks between Israel and the Palestinian National Authority begin in Egypt.']"
2,"['January 22 – The 2001 insurgency in Macedonia begins when a police station is shelled by the National Liberation Army in Tearce, near the border with Kosovo.', 'January 26 – A 7.7 Mw Gujarat earthquake shakes Western India with a maximum Mercalli intensity of X (Extreme), leaving thousands of people dead and more than 166,000 others injured.', 'January 29 – Corruption scandals surrounding Indonesian President Abdurrahman Wahid prompt thousands of protesters to storm the Indonesian parliament building.']"
3,"['February 6 – 2001 Israeli prime ministerial election: Ariel Sharon of the Likud party is elected Prime Minister of Israel.', 'February 9\nEhime Maru and USS Greeneville collision: The submarine USS Greeneville accidentally strikes and sinks the Japanese training vessel Ehime Maru near Hawaii, resulting in nine deaths, including several students and teachers.\n2001 Kot Charwal massacre: Militants kill 15 people in their homes in Rajouri, Jammu and Kashmir.', 'Ehime Maru and USS Greeneville collision: The submarine USS Greeneville accidentally strikes and sinks the Japanese training vessel Ehime Maru near Hawaii, resulting in nine deaths, including several students and teachers.', '2001 Kot Charwal massacre: Militants kill 15 people in their homes in Rajouri, Jammu and Kashmir.']"
4,"['February 12\nThe NEAR Shoemaker spacecraft touches down in the ""saddle"" region of 433 Eros, a near-Earth object, becoming the first spacecraft to land on an asteroid.\nThe Human Genome Project publishes the first draft of its human genome sequence.', 'The NEAR Shoemaker spacecraft touches down in the ""saddle"" region of 433 Eros, a near-Earth object, becoming the first spacecraft to land on an asteroid.', 'The Human Genome Project publishes the first draft of its human genome sequence.', 'February 13 – A 6.6-magnitude earthquake hits El Salvador, killing at least 315 people.', ""February 16 – Iraq disarmament crisis: British and U.S. forces carry out bombing raids to disable Iraq's air defense network."", 'February 19 – The 2001 United Kingdom foot-and-mouth outbreak begins.', 'February 22 – The International Criminal Tribunal for the former Yugoslavia (ICTY) sentences three Bosnian Serb soldiers to prison for wartime sexual violence, recognizing it as a war crime for the first time.', 'February 25 – Sampit conflict: Mass ethnic violence begins in Sampit, Indonesia, killing hundreds of people.']"
5,"['March 2 – Despite pleas from the international community to spare them, the Taliban government of Afghanistan begins destroying the Buddhas of Bamiyan, having declared that they are idols.', 'March 4 – The Hintze Ribeiro Bridge collapses in northern Portugal, killing 59 people.', 'March 14 – Battle of Tetovo: Violence erupts between Albanian rebels and Macedonian soldiers in Tetovo. Conflict in Tetovo will continue for months during the 2001 insurgency in Macedonia.', 'March 16 – Shijiazhuang bombings: 108 people are killed in a series of bombings in Shijiazhuang, China.', 'March 22 – Kenyanthropus is described as an early hominid after the discovery of remains in Kenya.', 'March 23 – The deorbit of Russian space station Mir is processed, with debris falling into the South Pacific Ocean after the station enters the atmosphere and is destroyed.', 'March 28 – The United States declares its intention to end involvement in the Kyoto Protocol.']"
6,"['April 1\nThe Act on the Opening up of Marriage goes into effect in the Netherlands, which becomes the first modern country to legalize same-sex marriage.\nHainan Island incident: A Chinese fighter jet collides with a U.S. EP-3E surveillance aircraft, which is forced to make an emergency landing in Hainan, China. The U.S. crew is detained for 10 days and the F-8 Chinese pilot, Wang Wei, goes missing and is presumed dead.', 'The Act on the Opening up of Marriage goes into effect in the Netherlands, which becomes the first modern country to legalize same-sex marriage.', 'Hainan Island incident: A Chinese fighter jet collides with a U.S. EP-3E surveillance aircraft, which is forced to make an emergency landing in Hainan, China. The U.S. crew is detained for 10 days and the F-8 Chinese pilot, Wang Wei, goes missing and is presumed dead.', 'April 2 – Former President of Serbia and Montenegro Slobodan Milošević surrenders to police special forces to be tried on charges of crimes against humanity.', 'April 7 – The NASA orbiter 2001 Mars Odyssey launches on a Delta II rocket.', 'April 17\nNông Đức Mạnh is chosen as General Secretary of the Communist Party of Vietnam.\nIsrael occupies an area in the Gaza Strip, killing two people. Israeli forces withdraw the same day after the United States denounces the attack.', 'Nông Đức Mạnh is chosen as General Secretary of the Communist Party of Vietnam.', 'Israel occupies an area in the Gaza Strip, killing two people. Israeli forces withdraw the same day after the United States denounces the attack.']"
7,"['April 26\nJunichiro Koizumi becomes the 86th Prime Minister of Japan.\nThe Parliament of Ukraine votes to dismiss Prime Minister Viktor Yushchenko.', 'Junichiro Koizumi becomes the 86th Prime Minister of Japan.', 'The Parliament of Ukraine votes to dismiss Prime Minister Viktor Yushchenko.', 'April 28\nThe Russian spacecraft Soyuz TM-32 lifts off from the Baikonur Cosmodrome in Kazakhstan, carrying the first space tourist, American entrepreneur Dennis Tito, and two Russian cosmonauts.\nVejce ambush: Eight Macedonian soldiers are killed in an ambush by the NLA near Vejce, a village in the Šar Mountains, Macedonia. It represents the heaviest death toll for the government forces in a single incident during the insurgency.', 'The Russian spacecraft Soyuz TM-32 lifts off from the Baikonur Cosmodrome in Kazakhstan, carrying the first space tourist, American entrepreneur Dennis Tito, and two Russian cosmonauts.', 'Vejce ambush: Eight Macedonian soldiers are killed in an ambush by the NLA near Vejce, a village in the Šar Mountains, Macedonia. It represents the heaviest death toll for the government forces in a single incident during the insurgency.']"
8,"['May 7 – In Banja Luka, Bosnia and Herzegovina, an attempt is made to reconstruct the historic 16th-century Ferhadija Mosque. Serbian nationalists respond with riots and mass violence against Bosnian Muslims.', 'May 13 – The House of Freedoms coalition led by Silvio Berlusconi wins the Italian general election.', 'May 18 – 2001 HaSharon Mall suicide bombing: A Hamas suicide bomber kills six people in Netanya, Israel. The Israeli government responds with the first use of airstrikes against Palestine since 1967.', 'May 22\n28978 Ixion, a large trans-Neptunian object and a possible dwarf planet, is discovered during the Deep Ecliptic Survey.\nThe Stockholm Convention on Persistent Organic Pollutants is adopted by 127 countries to limit pollution internationally.', '28978 Ixion, a large trans-Neptunian object and a possible dwarf planet, is discovered during the Deep Ecliptic Survey.', 'The Stockholm Convention on Persistent Organic Pollutants is adopted by 127 countries to limit pollution internationally.', 'May 24\nSherpa Temba Tsheri, 15, becomes the youngest person to reach the summit of Mount Everest.\nThe Versailles Wedding Hall collapses in Jerusalem, Israel, killing 23 people and injuring 380 others.', 'Sherpa Temba Tsheri, 15, becomes the youngest person to reach the summit of Mount Everest.', 'The Versailles Wedding Hall collapses in Jerusalem, Israel, killing 23 people and injuring 380 others.', 'May 26 – The African Union is formed to replace the Organisation of African Unity. It will begin operation the following year.', ""May 28 – 2001 Central African Republic coup d'état attempt: Central African forces led by André Kolingba carry out a failed attempt to overthrow the government of the Central African Republic. Dozens are killed in the ensuing violence."", ""May 31 – Research into Crohn's disease confirms that it is identified with mutation of the NOD2 gene.""]"
9,"['June 1\nCrown Prince Dipendra of Nepal kills his father, the king, his mother and other members of the royal family with an assault rifle and then shoots himself in the Nepalese royal massacre. Dipendra is recognized as King of Nepal while in a coma.\nDolphinarium discotheque massacre: A Hamas suicide bomber kills 21 people, mostly teenagers, in the Dolphinarium disco in Tel Aviv, Israel.', 'Crown Prince Dipendra of Nepal kills his father, the king, his mother and other members of the royal family with an assault rifle and then shoots himself in the Nepalese royal massacre. Dipendra is recognized as King of Nepal while in a coma.', 'Dolphinarium discotheque massacre: A Hamas suicide bomber kills 21 people, mostly teenagers, in the Dolphinarium disco in Tel Aviv, Israel.', 'June 4 – Gyanendra ascends the throne of Nepal on the death of his nephew, Dipendra.']"
10,"['June 5 – Tropical Storm Allison hits the U.S. state of Texas, severely flooding Houston and killing 23 people.', 'June 7\n2001 United Kingdom general election: Tony Blair and the Labour Party win a second landslide victory.\nFormer Argentinian president Carlos Menem is arrested on suspicion of illegal arms sales.', '2001 United Kingdom general election: Tony Blair and the Labour Party win a second landslide victory.', 'Former Argentinian president Carlos Menem is arrested on suspicion of illegal arms sales.', 'June 12 – Aračinovo crisis: Albanian rebels violate a 24-hour cease fire with Macedonian soldiers.', 'June 15 – Declaration to establish the Shanghai Cooperation Organisation is signed.', 'June 19\nSyria withdraws thousands of forces from a decades-long military presence in Beirut, Lebanon.\nGermany enacts a program to compensate Holocaust survivors that were subject to slave labor.\nA missile hits a soccer field in northern Iraq, killing 23 people and wounding 11 more. According to U.S. officials, it is an Iraqi missile that malfunctioned.', 'Syria withdraws thousands of forces from a decades-long military presence in Beirut, Lebanon.', 'Germany enacts a program to compensate Holocaust survivors that were subject to slave labor.', 'A missile hits a soccer field in northern Iraq, killing 23 people and wounding 11 more. According to U.S. officials, it is an Iraqi missile that malfunctioned.', ""June 21 – The world's longest train is run by BHP Iron Ore between Newman and Port Hedland in Western Australia (a distance of 275\xa0km or 171\xa0mi); the train consists of 682 loaded iron ore wagons and 8 GE AC6000CW locomotives, giving a gross weight of almost 100,000 tonnes and moves 82,262 tonnes of ore; the train is 7.353\xa0km (4.569\xa0mi) long."", 'June 23 – An 8.4 Mw southern Peru earthquake shakes coastal Peru with a maximum Mercalli intensity of VIII (Severe). A destructive tsunami follows, leaving at least 77 people dead, and 2,687 others injured.', 'June 25 – Alkhan-Kala operation: Russian forces carry out a zachistka operation in Alkhan-Kala, Grozny, Chechnya, during the Second Chechen War. Chechen warlord Arbi Barayev is killed.']"
